Year,LocationAbbr,LocationDesc,DataSource,Class,Topic,Question,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Break_Out,Break_Out_Category,GeoLocation,ClassID,TopicID,QuestionID,ResponseID,LocationID,BreakOutID,BreakOutCategoryID,Data_Value_Category,Data_Value_Category_ID
2015,WV,West Virginia,ASTDD Synopses,Synopses,Programs,Prevention Programs,,,yes/no,Yes,10001,,,,,,Dental screening programs,Type of Program,"(38.665510202, -80.712640135)",SYNOP,PROG,PROG4_1,,54,BO11,BOC3,Yes,CAT10001
2011,AZ,Arizona,ASTDD Synopses,Synopses,Programs,Prevention Programs,,,yes/no,Yes,10001,,,,,,School-based or school-linked sealant programs,Type of Program,"(34.86597028, -111.763811277)",SYNOP,PROG,PROG4_1,,04,BO10,BOC3,Yes,CAT10001
2020,KY,Kentucky,ASTDD Synopses,Synopses,Programs,Oral health (open-mouth) surveys using Basic Screening Survey protocol,,,yes/no,No,10002,,,,,,,,"(37.645970271000465, -84.77497104799966)",SYNOP,PROG,PROG4_2,,21,,,No,CAT10002
2014,SC,South Carolina,ASTDD Synopses,Synopses,Leadership,"Statewide, broad-based oral health coalition",,,yes/no,,99999,NA,Question not asked,,,,,,"(33.998821303, -81.045371207)",SYNOP,LEAD,LEAD1_6,,45,,,Not Asked,CAT99999
2011,GA,Georgia,ASTDD Synopses,Synopses,Leadership,Years in current dental director position,,years,number,3,3,,,,,,,,"(32.839681093, -83.627580346)",SYNOP,LEAD,LEAD1_2,,13,,,1-4,CAT5
2018,AK,Alaska,ASTDD Synopses,Synopses,Leadership,Years in current dental director position,,years,number,< 1,10008,,,,,,,,"(64.845079957001, -147.722059036)",SYNOP,LEAD,LEAD1_2,,02,,,<1,CAT2
2014,MO,Missouri,ASTDD Synopses,Synopses,Leadership,Years in current dental director position,,years,number,< 1,10008,,,,,,,,"(38.635790776, -92.566300053)",SYNOP,LEAD,LEAD1_2,,29,,,<1,CAT2
2017,CO,Colorado,ASTDD Synopses,Synopses,Leadership,State dental director/program manager position requirement,,,yes/no,No,10002,,,,,,Public health degree,Requirement,"(38.843840757, -106.133610921)",SYNOP,LEAD,LEAD1_5,,08,BO4,BOC1,No,CAT10002
2013,IN,Indiana,ASTDD Synopses,Synopses,Programs,Special populations programs,,,yes/no,,99999,NA,Question not asked,,,,For older adults,Type of Program,"(39.766910452, -86.149960194)",SYNOP,PROG,PROG4_3,,18,BO20,BOC3,Not Asked,CAT99999
2014,WI,Wisconsin,ASTDD Synopses,Synopses,Leadership,Statutory requirement or authority,,,yes/no,No,10002,,,,,,For oral health program,Requirement,"(44.393191174, -89.816370742)",SYNOP,LEAD,LEAD1_4,,55,BO1,BOC1,No,CAT10002
2018,MO,Missouri,ASTDD Synopses,Synopses,Leadership,Current state dental director,,,yes/no,Yes,10001,,,,,,,,"(38.635790776, -92.566300053)",SYNOP,LEAD,LEAD1_1,,29,,,Yes,CAT10001
2014,TX,Texas,ASTDD Synopses,Synopses,Programs,Special populations programs,,,yes/no,Yes,10001,,,,,,For pregnant women,Type of Program,"(31.827240407, -99.426770206)",SYNOP,PROG,PROG4_3,,48,BO19,BOC3,Yes,CAT10001
2019,DE,Delaware,ASTDD Synopses,Synopses,Leadership,Years in current dental director position,,years,number,2,2,,,,,,,,"(39.008830667000495, -75.57774116799965)",SYNOP,LEAD,LEAD1_2,,10,,,1-4,CAT5
2018,WA,Washington,ASTDD Synopses,Synopses,Leadership,"Statewide, broad-based oral health coalition",,,yes/no,Yes,10001,,,,,,,,"(47.522278629, -120.47001079)",SYNOP,LEAD,LEAD1_6,,53,,,Yes,CAT10001
2012,WI,Wisconsin,ASTDD Synopses,Synopses,Leadership,State dental director/program manager position requirement,,,yes/no,Yes,10001,,,,,,Public health experience,Requirement,"(44.393191174, -89.816370742)",SYNOP,LEAD,LEAD1_5,,55,BO3,BOC1,Yes,CAT10001
2016,TN,Tennessee,ASTDD Synopses,Synopses,Leadership,"Statewide, broad-based oral health coalition",,,yes/no,No,10002,,,,,,,,"(35.68094058, -85.774490914)",SYNOP,LEAD,LEAD1_6,,47,,,No,CAT10002
2017,NM,New Mexico,ASTDD Synopses,Synopses,Leadership,Current state dental director,,,yes/no,Yes,10001,,,,,,,,"(34.520880952, -106.240580985)",SYNOP,LEAD,LEAD1_1,,35,,,Yes,CAT10001
2013,HI,Hawaii,ASTDD Synopses,Synopses,Leadership,Statutory requirement or authority,,,yes/no,No,10002,,,,,,For oral health program,Requirement,"(21.304850435, -157.857749403)",SYNOP,LEAD,LEAD1_4,,15,BO1,BOC1,No,CAT10002
2016,HI,Hawaii,ASTDD Synopses,Synopses,Leadership,Statutory requirement or authority,,,yes/no,,88888,NR,Not Reported,,,,For state dental director,Requirement,"(21.304850435, -157.857749403)",SYNOP,LEAD,LEAD1_4,,15,BO2,BOC1,Not Reported,CAT88888
2019,NC,North Carolina,ASTDD Synopses,Synopses,Leadership,Current state dental director,,,yes/no,Permanent,10001,,,,,,,,"(35.466220975000454, -79.15925046299964)",SYNOP,LEAD,LEAD1_1,,37,,,Yes,CAT10001
2017,FL,Florida,ASTDD Synopses,Synopses,Leadership,Statutory requirement or authority,,,yes/no,No,10002,,,,,,For state dental director,Requirement,"(28.932040377, -81.928960539)",SYNOP,LEAD,LEAD1_4,,12,BO2,BOC1,No,CAT10002
2016,PA,Pennsylvania,ASTDD Synopses,Synopses,Leadership,Years in current dental director position,,years,number,1,1,,,,,,,,"(40.793730152, -77.860700294)",SYNOP,LEAD,LEAD1_2,,42,,,1-4,CAT5
2020,IN,Indiana,ASTDD Synopses,Synopses,Leadership,Current state dental director,,,yes/no,Yes,10001,,,,,,,,"(39.766910452000445, -86.14996019399968)",SYNOP,LEAD,LEAD1_1,,18,,,Yes,CAT10001
2015,VA,Virginia,ASTDD Synopses,Synopses,Leadership,Current state dental director,,,yes/no,Yes,10001,,,,,,,,"(37.542680674, -78.457890463)",SYNOP,LEAD,LEAD1_1,,51,,,Yes,CAT10001
2015,WY,Wyoming,ASTDD Synopses,Synopses,Leadership,Current state dental director,,,yes/no,Yes,10001,,,,,,,,"(43.235541343, -108.109830353)",SYNOP,LEAD,LEAD1_1,,56,,,Yes,CAT10001
2011,MN,Minnesota,ASTDD Synopses,Synopses,Leadership,Dental director position type,,multiple choice,multiple choice,,99999,NA,Question not asked,,,,,,"(46.355648736, -94.794200503)",SYNOP,LEAD,LEAD1_3,,27,,,Not Asked,CAT99999
2020,CT,Connecticut,ASTDD Synopses,Synopses,Policies,Requirement or mandate for a dental health screening or certificate at school entry,,,yes/no,No,10002,,,,,,,,"(41.56266102000046, -72.64984095199964)",SYNOP,POL,POL3_1,,09,,,No,CAT10002
2015,ME,Maine,ASTDD Synopses,Synopses,Leadership,State dental director/program manager position requirement,,,yes/no,No,10002,,,,,,Public health degree,Requirement,"(45.254228894001, -68.985031336)",SYNOP,LEAD,LEAD1_5,,23,BO4,BOC1,No,CAT10002
2011,NC,North Carolina,ASTDD Synopses,Synopses,Leadership,Current state dental director,,,yes/no,Yes,10001,,,,,,,,"(35.466220975, -79.159250463)",SYNOP,LEAD,LEAD1_1,,37,,,Yes,CAT10001
2019,MI,Michigan,ASTDD Synopses,Synopses,Leadership,Years in current dental director position,,years,number,8,8,,,,,,,,"(44.6613195430005, -84.71439026999968)",SYNOP,LEAD,LEAD1_2,,26,,,5-9,CAT7
2019,TX,Texas,ASTDD Synopses,Synopses,Leadership,"Statewide, broad-based oral health coalition",,,yes/no,Yes,10001,,,,,,,,"(31.827240407000488, -99.42677020599967)",SYNOP,LEAD,LEAD1_6,,48,,,Yes,CAT10001
2011,TN,Tennessee,ASTDD Synopses,Synopses,Leadership,"Statewide, broad-based oral health coalition",,,yes/no,,99999,NA,Question not asked,,,,,,"(35.68094058, -85.774490914)",SYNOP,LEAD,LEAD1_6,,47,,,Not Asked,CAT99999
2019,ME,Maine,ASTDD Synopses,Synopses,Leadership,Current state dental director,,,yes/no,Acting,10001,,,,,,,,"(45.254228894000505, -68.98503133599962)",SYNOP,LEAD,LEAD1_1,,23,,,Yes,CAT10001
2019,ND,North Dakota,ASTDD Synopses,Synopses,Leadership,Dental director position type,,multiple choice,multiple choice,Civil Service,10005,,,,,,,,"(47.47531977900047, -100.11842104899966)",SYNOP,LEAD,LEAD1_3,,38,,,Civil Service,CAT10005
2014,KS,Kansas,ASTDD Synopses,Synopses,Leadership,Current state dental director,,,yes/no,Yes,10001,,,,,,,,"(38.3477403, -98.200781227)",SYNOP,LEAD,LEAD1_1,,20,,,Yes,CAT10001
2016,DE,Delaware,ASTDD Synopses,Synopses,Programs,Oral health (open-mouth) surveys using Basic Screening Survey protocol,,,yes/no,No,10002,,,,,,,,"(39.008830667, -75.577741168)",SYNOP,PROG,PROG4_2,,10,,,No,CAT10002
2015,MT,Montana,ASTDD Synopses,Synopses,Leadership,Current state dental director,,,yes/no,Yes,10001,,,,,,,,"(47.066528972, -109.424420645)",SYNOP,LEAD,LEAD1_1,,30,,,Yes,CAT10001
2017,WY,Wyoming,ASTDD Synopses,Synopses,Leadership,Years in current dental director position,,years,number,1,1,,,,,,,,"(43.235541343, -108.109830353)",SYNOP,LEAD,LEAD1_2,,56,,,1-4,CAT5
2017,OK,Oklahoma,ASTDD Synopses,Synopses,Leadership,Years in current dental director position,,years,number,8,8,,,,,,,,"(35.472031356, -97.521070214)",SYNOP,LEAD,LEAD1_2,,40,,,5-9,CAT7
2016,MT,Montana,ASTDD Synopses,Synopses,Leadership,Years in current dental director position,,years,number,2,2,,,,,,,,"(47.066528972, -109.424420645)",SYNOP,LEAD,LEAD1_2,,30,,,1-4,CAT5
2020,TN,Tennessee,ASTDD Synopses,Synopses,Leadership,"Statewide, broad-based oral health coalition",,,yes/no,No,10002,,,,,,,,"(35.68094058000048, -85.77449091399967)",SYNOP,LEAD,LEAD1_6,,47,,,No,CAT10002
2015,WA,Washington,ASTDD Synopses,Synopses,Leadership,Current state dental director,,,yes/no,Yes,10001,,,,,,,,"(47.522278629, -120.47001079)",SYNOP,LEAD,LEAD1_1,,53,,,Yes,CAT10001
2012,MS,Mississippi,ASTDD Synopses,Synopses,Leadership,Statutory requirement or authority,,,yes/no,No,10002,,,,,,For state dental director,Requirement,"(32.745510099, -89.538030825)",SYNOP,LEAD,LEAD1_4,,28,BO2,BOC1,No,CAT10002
2016,HI,Hawaii,ASTDD Synopses,Synopses,Leadership,Dental director position type,,multiple choice,multiple choice,Civil Service,10005,,,,,,,,"(21.304850435, -157.857749403)",SYNOP,LEAD,LEAD1_3,,15,,,Civil Service,CAT10005
2015,NY,New York,ASTDD Synopses,Synopses,Leadership,Years in current dental director position,,years,number,5,5,,,,,,,,"(42.827001032, -75.543970427)",SYNOP,LEAD,LEAD1_2,,36,,,5-9,CAT7
2014,DE,Delaware,ASTDD Synopses,Synopses,Leadership,Years in current dental director position,,years,number,13,13,,,,,,,,"(39.008830667, -75.577741168)",SYNOP,LEAD,LEAD1_2,,10,,,>=10,CAT9
2012,AZ,Arizona,ASTDD Synopses,Synopses,Programs,Prevention Programs,,,yes/no,Yes,10001,,,,,,School-based or school-linked sealant programs,Type of Program,"(34.86597028, -111.763811277)",SYNOP,PROG,PROG4_1,,04,BO10,BOC3,Yes,CAT10001
2013,PA,Pennsylvania,ASTDD Synopses,Synopses,Leadership,Years in current dental director position,,years,number,< 1,10008,,,,,,,,"(40.793730152, -77.860700294)",SYNOP,LEAD,LEAD1_2,,42,,,<1,CAT2
2011,AK,Alaska,ASTDD Synopses,Synopses,Leadership,Current state dental director,,,yes/no,Yes,10001,,,,,,,,"(64.845079957001, -147.722059036)",SYNOP,LEAD,LEAD1_1,,02,,,Yes,CAT10001
2013,ND,North Dakota,ASTDD Synopses,Synopses,Leadership,Years in current dental director position,,years,number,6,6,,,,,,,,"(47.475319779, -100.118421049)",SYNOP,LEAD,LEAD1_2,,38,,,5-9,CAT7
2020,GA,Georgia,ASTDD Synopses,Synopses,Leadership,Years in current dental director position,,years,number,2,2,,,,,,,,"(32.83968109300048, -83.62758034599966)",SYNOP,LEAD,LEAD1_2,,13,,,1-4,CAT5
2013,TX,Texas,ASTDD Synopses,Synopses,Programs,Special populations programs,,,yes/no,No,10002,,,,,,For pregnant women,Type of Program,"(31.827240407, -99.426770206)",SYNOP,PROG,PROG4_3,,48,BO19,BOC3,No,CAT10002
2019,WV,West Virginia,ASTDD Synopses,Synopses,Programs,Special populations programs,,,yes/no,No,10002,,,,,,For older adults,Type of Program,"(38.66551020200046, -80.71264013499967)",SYNOP,PROG,PROG4_3,,54,BO20,BOC3,No,CAT10002
2012,AL,Alabama,ASTDD Synopses,Synopses,Programs,Oral health (open-mouth) surveys using Basic Screening Survey protocol,,,yes/no,Yes,10001,,,,,,,,"(32.840571122, -86.631860762)",SYNOP,PROG,PROG4_2,,01,,,Yes,CAT10001
2017,LA,Louisiana,ASTDD Synopses,Synopses,Leadership,Current state dental director,,,yes/no,Yes,10001,,,,,,,,"(31.312660644, -92.445680071)",SYNOP,LEAD,LEAD1_1,,22,,,Yes,CAT10001
2019,UT,Utah,ASTDD Synopses,Synopses,Programs,Prevention Programs,,,yes/no,No,10002,,,,,,Fluoride varnish programs,Type of Program,"(39.360700171000474, -111.58713063499971)",SYNOP,PROG,PROG4_1,,49,BO13,BOC3,No,CAT10002
2012,MI,Michigan,ASTDD Synopses,Synopses,Leadership,Years in current dental director position,,years,number,1,1,,,,,,,,"(44.661319543001, -84.71439027)",SYNOP,LEAD,LEAD1_2,,26,,,1-4,CAT5
2013,NJ,New Jersey,ASTDD Synopses,Synopses,Programs,Prevention Programs,,,yes/no,Yes,10001,,,,,,Dental screening programs,Type of Program,"(40.130570048, -74.273691288)",SYNOP,PROG,PROG4_1,,34,BO11,BOC3,Yes,CAT10001
2014,AR,Arkansas,ASTDD Synopses,Synopses,Leadership,Current state dental director,,,yes/no,Yes,10001,,,,,,,,"(34.748650124, -92.274490743)",SYNOP,LEAD,LEAD1_1,,05,,,Yes,CAT10001
2021,OR,Oregon,ASTDD Synopses,Synopses,Leadership,Current state dental director,,,yes/no,Permanent,10001,,,,,,,,"(44.56744942400047, -120.15503132599969)",SYNOP,LEAD,LEAD1_1,,41,,,Yes,CAT10001
2022,NH,New Hampshire,ASTDD Synopses,Synopses,Leadership,"Statewide, broad-based oral health coalition",,,yes/no,Yes,10001,,,,,,,,"(43.65595011300047, -71.50036091999965)",SYNOP,LEAD,LEAD1_6,,33,,,Yes,CAT10001
2022,MT,Montana,ASTDD Synopses,Synopses,Leadership,"Statewide, broad-based oral health coalition",,,yes/no,No,10002,,,,,,,,"(47.06652897200047, -109.42442064499971)",SYNOP,LEAD,LEAD1_6,,30,,,No,CAT10002
2022,RI,Rhode Island,ASTDD Synopses,Synopses,Leadership,Years in current dental director position,,years,number,5,5,,,,,,,,"(41.70828019300046, -71.52247031399963)",SYNOP,LEAD,LEAD1_2,,44,,,5-9,CAT7
2022,PA,Pennsylvania,ASTDD Synopses,Synopses,Leadership,"Statewide, broad-based oral health coalition",,,yes/no,Yes,10001,,,,,,,,"(40.79373015200048, -77.86070029399963)",SYNOP,LEAD,LEAD1_6,,42,,,Yes,CAT10001
2022,SC,South Carolina,ASTDD Synopses,Synopses,Leadership,Current state dental director,,,yes/no,Permanent,10001,,,,,,,,"(33.998821303000454, -81.04537120699968)",SYNOP,LEAD,LEAD1_1,,45,,,Yes,CAT10001
2022,WA,Washington,ASTDD Synopses,Synopses,Leadership,State dental director/program manager position requirement,,,yes/no,Yes,10001,,,,,,Full-time,Requirement,"(47.52227862900048, -120.47001078999972)",SYNOP,LEAD,LEAD1_5,,53,BO5,BOC1,Yes,CAT10001
2022,IA,Iowa,ASTDD Synopses,Synopses,Leadership,"Statewide, broad-based oral health coalition",,,yes/no,Yes,10001,,,,,,,,"(42.46940091300047, -93.81649055599968)",SYNOP,LEAD,LEAD1_6,,19,,,Yes,CAT10001
2022,CA,California,ASTDD Synopses,Synopses,Leadership,Current state dental director,,,yes/no,Permanent,10001,,,,,,,,"(37.63864012300047, -120.99999953799971)",SYNOP,LEAD,LEAD1_1,,06,,,Yes,CAT10001
2022,NC,North Carolina,ASTDD Synopses,Synopses,Leadership,State dental director/program manager position requirement,,,yes/no,Yes,10001,,,,,,Public health experience,Requirement,"(35.466220975000454, -79.15925046299964)",SYNOP,LEAD,LEAD1_5,,37,BO3,BOC1,Yes,CAT10001
2015,AL,Alabama,ASTDD Synopses,Synopses,Leadership,State dental director/program manager position requirement,,,yes/no,Yes,10001,,,,,,Public health experience,Requirement,"(32.840571122, -86.631860762)",SYNOP,LEAD,LEAD1_5,,01,BO3,BOC1,Yes,CAT10001
2015,MO,Missouri,ASTDD Synopses,Synopses,Leadership,"Number of health agencies serving jurisdictions of 250,000+ population",,agencies,number,2,2,,,,,,With a dental program directed by a dental professional,Type of health agency,"(38.635790776, -92.566300053)",SYNOP,LEAD,LEAD1_7,,29,BO8,BOC2,1-4,CAT5
2020,DE,Delaware,ASTDD Synopses,Synopses,Leadership,State dental director/program manager position requirement,,,yes/no,No,10002,,,,,,Public health degree,Requirement,"(39.008830667000495, -75.57774116799965)",SYNOP,LEAD,LEAD1_5,,10,BO4,BOC1,No,CAT10002
2021,MO,Missouri,ASTDD Synopses,Synopses,Leadership,Years in current dental director position,,years,number,5,5,,,,,,,,"(38.635790776000476, -92.56630005299968)",SYNOP,LEAD,LEAD1_2,,29,,,5-9,CAT7
2011,IN,Indiana,ASTDD Synopses,Synopses,Leadership,"Statewide, broad-based oral health coalition",,,yes/no,,99999,NA,Question not asked,,,,,,"(39.766910452, -86.149960194)",SYNOP,LEAD,LEAD1_6,,18,,,Not Asked,CAT99999
2016,DE,Delaware,ASTDD Synopses,Synopses,Programs,System for children with cleft lips/cleft palates,,,yes/no,Yes,10001,,,,,,System for referring children with cleft lips/cleft palates to rehabilitative teams,Type of System,"(39.008830667, -75.577741168)",SYNOP,PROG,PROG4_4,,10,BO15,BOC4,Yes,CAT10001
2012,MD,Maryland,ASTDD Synopses,Synopses,Leadership,"Number of health agencies serving jurisdictions of 250,000+ population",,agencies,number,7,7,,,,,,With a dental program directed by a dental professional,Type of health agency,"(39.290580964, -76.609260111)",SYNOP,LEAD,LEAD1_7,,24,BO8,BOC2,5-9,CAT7
2012,DE,Delaware,ASTDD Synopses,Synopses,Leadership,Statutory requirement or authority,,,yes/no,Yes,10001,,,,,,For state dental director,Requirement,"(39.008830667, -75.577741168)",SYNOP,LEAD,LEAD1_4,,10,BO2,BOC1,Yes,CAT10001
2017,HI,Hawaii,ASTDD Synopses,Synopses,Leadership,"Number of health agencies serving jurisdictions of 250,000+ population",,agencies,number,0,0,,,,,,With a dental program directed by a dental professional with graduate degree in public health,Type of health agency,"(21.304850435, -157.857749403)",SYNOP,LEAD,LEAD1_7,,15,BO9,BOC2,0,CAT1
2014,IA,Iowa,ASTDD Synopses,Synopses,Leadership,Dental director position type,,multiple choice,multiple choice,,99999,NA,Question not asked,,,,,,"(42.469400913, -93.816490556)",SYNOP,LEAD,LEAD1_3,,19,,,Not Asked,CAT99999
2019,WY,Wyoming,ASTDD Synopses,Synopses,Leadership,"Number of health agencies serving jurisdictions of 250,000+ population",,agencies,number,,88888,NR,Not Reported,,,,With a dental program directed by a dental professional,Type of health agency,"(43.23554134300048, -108.10983035299967)",SYNOP,LEAD,LEAD1_7,,56,BO8,BOC2,Not Reported,CAT88888
2022,PA,Pennsylvania,ASTDD Synopses,Synopses,Leadership,Statutory requirement or authority,,,yes/no,Yes,10001,,,,,,For state dental director,Requirement,"(40.79373015200048, -77.86070029399963)",SYNOP,LEAD,LEAD1_4,,42,BO2,BOC1,Yes,CAT10001
