PROVIDER NAME,CITY,STATE,CLAIMS PAID FOR VACCINE
CVS PHARMACY #04945,FAIRHOPE,AL,80
CVS PHARMACY #04817,FLORENCE,AL,80
CVS PHARMACY #04925,FLORENCE,AL,120
CVS PHARMACY #16663,FLORENCE,AL,40
CVS PHARMACY #01806,FOLEY,AL,200
SOUTHEASTERN GROCERS,FOLEY,AL,40
AMERICAS BEST CARE PLUS INC.,FORT PAYNE,AL,605.33
CVS PHARMACY #04882,FULTONDALE,AL,80
CVS PHARMACY #04845,GADSDEN,AL,80
CVS PHARMACY #04849,GADSDEN,AL,40
CVS PHARMACY #04833,GARDENDALE,AL,240
CVS PHARMACY #04917,GREENSBORO,AL,40
CVS PHARMACY #17236,GULF SHORES,AL,200
CVS PHARMACY #04960,HANCEVILLE,AL,80
CVS PHARMACY #10516,HARVEST,AL,40
CLEBURNE PHARMACY LLC,HEFLIN,AL,7286.88
CVS PHARMACY #04965,HELENA,AL,40
ITS ABOUT TIME URGENT CARE,HELENA,AL,230
CVS PHARMACY #04829,HOMEWOOD,AL,200
CVS PHARMACY #04904,HOMEWOOD,AL,80
CVS PHARMACY #17642,HOMEWOOD,AL,160
COMPREHENSIVE PEDIATRICS AND INTERNAL MEDICINE LLC,HOOVER,AL,7894.61
CVS PHARMACY #04889,HOOVER,AL,80
CVS PHARMACY #04913,HOOVER,AL,240
CVS PHARMACY #10181,HOOVER,AL,200
CVS PHARMACY #01774,HUNTSVILLE,AL,200
CVS PHARMACY #04881,HUNTSVILLE,AL,280
CVS PHARMACY #04899,HUNTSVILLE,AL,40
CVS PHARMACY #05413,HUNTSVILLE,AL,160
CVS PHARMACY #10037,HUNTSVILLE,AL,40
CVS PHARMACY #16706,HUNTSVILLE,AL,40
CVS PHARMACY #04936,IRONDALE,AL,240
CVS PHARMACY #04868,JACKSON,AL,40
CVS PHARMACY #04907,JACKSONVILLE,AL,40
CVS PHARMACY #04975,LANETT,AL,160
THE KROGER CO,LANETT,AL,715.68
CVS PHARMACY #07155,MADISON,AL,40
CVS PHARMACY #07215,MC CALLA,AL,40
CVS PHARMACY #04909,MILLBROOK,AL,40
MILLRY PEDIATRIC CLINIC LLC,MILLRY,AL,80
CVS PHARMACY #01814,MOBILE,AL,80
CVS PHARMACY #04818,MOBILE,AL,40
CVS PHARMACY #04888,MOBILE,AL,40
CVS PHARMACY #04900,MOBILE,AL,200
CVS PHARMACY #08362,MOBILE,AL,160
SOUTHEASTERN GROCERS,MOBILE,AL,80
SPRINGHILL MEDICAL CENTER,MOBILE,AL,767.5
CVS PHARMACY #07112,MONTEVALLO,AL,200
CVS PHARMACY #03095,MONTGOMERY,AL,80
CVS PHARMACY #04856,MONTGOMERY,AL,40
CVS PHARMACY #04869,MONTGOMERY,AL,80
CVS PHARMACY #04947,MONTGOMERY,AL,160
PARKS PHARMACY 4,MONTGOMERY,AL,20376.78
MULBERRY MEDICAL ASSOCIATES P.C.,MONTOGMERY,AL,0
CVS PHARMACY #04967,MOODY,AL,40
CVS PHARMACY #04931,MOULTON,AL,40
CVS PHARMACY #02505,MOUNTAIN BROOK,AL,120
CVS PHARMACY #04901,MUSCLE SHOALS,AL,120
CVS PHARMACY #04372,NORTHPORT,AL,80
CVS PHARMACY #04835,NORTHPORT,AL,160
SOUTHEASTERN GROCERS,NORTHPORT,AL,80
CVS PHARMACY #04854,ONEONTA,AL,80
CVS PHARMACY #04949,OPELIKA,AL,160
THE KROGER CO,OPELIKA,AL,649.65
CVS PHARMACY #02899,ORANGE BEACH,AL,40
CVS PHARMACY #04826,OZARK,AL,40
CVS PHARMACY #04839,PELL CITY,AL,200
CVS PHARMACY #01824,PHENIX CITY,AL,40
CVS PHARMACY #04934,PHENIX CITY,AL,40
CVS PHARMACY #04956,PIEDMONT,AL,40
CVS PHARMACY #04926,PINSON,AL,120
CVS PHARMACY #04916,PLEASANT GROVE,AL,200
CVS PHARMACY #04838,PRATTVILLE,AL,40
CVS PHARMACY #04944,PRATTVILLE,AL,160
CVS PHARMACY #17348,PRATTVILLE,AL,120
SOUTHEASTERN GROCERS,PRATTVILLE,AL,80
CVS PHARMACY #04823,RAINBOW CITY,AL,80
SOUTHEASTERN GROCERS,RAINBOW CITY,AL,40
CVS PHARMACY #01822,ROBERTSDALE,AL,40
CVS PHARMACY #10575,SARALAND,AL,40
CVS PHARMACY #06013,SCOTTSBORO,AL,400
CVS PHARMACY #04853,SELMA,AL,40
SOUTHEASTERN GROCERS,SEMMES,AL,360
CVS PHARMACY #04915,SYLACAUGA,AL,40
CVS PHARMACY #04842,TALLADEGA,AL,40
CVS PHARMACY #04943,TALLASSEE,AL,80
CHARLES HENDERSON CHILD HEALTH CENTER,TROY,AL,115.66
CVS PHARMACY #04891,TRUSSVILLE,AL,120
CVS PHARMACY #04813,TUSCALOOSA,AL,120
CVS PHARMACY #04819,TUSCALOOSA,AL,160
WHATLEY HEALTH SERVICES INC.,TUSCALOOSA,AL,40
CVS PHARMACY #04860,UNION SPRINGS,AL,40
CVS PHARMACY #04851,VESTAVIA,AL,200
CVS PHARMACY #04855,VESTAVIA HILLS,AL,40
RX PARTNERS 001 LLC DBA CLEBURNE PHARMACY LLC,WEDOWEE,AL,697.45
PHARMACY CARE OF ARKANSAS,ARKADELPHIA,AR,74213.55
CVS PHARMACY #10432,BRYANT,AR,40
CVS PHARMACY #17282,BRYANT,AR,80
CVS PHARMACY #10409,FAYETTEVILLE,AR,80
HERHEALTH BY WASHINGTON REGIONAL,FAYETTEVILLE,AR,2.5
MEDICAL ASSOCIATES OF NWA,FAYETTEVILLE,AR,3011.31
MEDISAV HOMECARE PHARMACY,FORT SMITH,AR,1190.55
NATIONAL FAMILY PHARMACY,FORT SMITH,AR,21514.51
SOOS DRUG INC,JONESBORO,AR,4339.69
WOODSPRINGS PHARMACY,JONESBORO,AR,2369.37
ARKANSAS HEALTH GROUP,LITTLE ROCK,AR,67.2
CVS PHARMACY #10779,LITTLE ROCK,AR,40
CVS PHARMACY #17611,LITTLE ROCK,AR,40
MORRILTON MEDICAL CLINIC,MORRILTON,AR,280
MITCHELLS MAIN STREET PHARMACY,MOUNTAIN VIEW,AR,9963.35
CVS PHARMACY #10975,NORTH LITTLE ROCK,AR,40
"WILLIAMS CONSULTING CREATING OPPORTUNITIES FOR ADVANCEMENT
LLC",NORTH LITTLE ROCK,AR,320
MCKENNEY PHARMACY,PIGGOTT,AR,40
CVS PHARMACY #10816,ROGERS,AR,40
CVS PHARMACY #11093,RUSSELLVILLE,AR,80
GARY BERNER,SPRINGDALE,AR,40
ST FRANCIS HOUSE NWA DBA COMMUNITY CLINIC,SPRINGDALE,AR,1634.49
CVS PHARMACY #10255,VAN BUREN,AR,40
CVS PHARMACY #07264,ANTHEM,AZ,120
SMITHS FOOD & DRUG CENTERS INC,ANTHEM,AZ,3376.84
HEAVENS URGENT CARE,APACHE JUNCTION,AZ,737.52
SMITHS FOOD & DRUG CENTERS INC,APACHE JUNCTION,AZ,4076.26
CVS PHARMACY #10229,AVONDALE,AZ,120
SMITHS FOOD & DRUG CENTERS INC,AVONDALE,AZ,4228.89
SMITHS FOOD & DRUG CENTERS INC,AVONDALE,AZ,4078.3
SMITHS FOOD & DRUG CENTERS INC,AVONDALE,AZ,3221.99
VERSATILE MEDICINE PLLC,AVONDALE,AZ,80
CVS PHARMACY #01716,BUCKEYE,AZ,80
SMITHS FOOD & DRUG CENTERS INC,BUCKEYE,AZ,3582.57
SMITHS FOOD AND DRUG CENTERS INC,BUCKEYE,AZ,1402.42
SMITHS FOOD & DRUG CENTERS INC,BULLHEAD,AZ,3360.65
CVS PHARMACY #08826,BULLHEAD CITY,AZ,160
CVS PHARMACY #17432,BULLHEAD CITY,AZ,120
CVS PHARMACY #09266,CAMP VERDE,AZ,80
CVS PHARMACY #00032,CAREFREE,AZ,240
SMITHS FOOD & DRUG CENTERS INC,CASA GRANDE,AZ,3823.27
SMITHS FOOD & DRUG CENTERS INC,CASA GRANDE,AZ,4747.55
CVS PHARMACY #07852,CAVE CREEK,AZ,80
SMITHS FOOD & DRUG CENTERS INC,CAVE CREEK,AZ,3892.54
SMITHS FOOD & DRUG CENTERS INC,CAVE CREEK,AZ,4824.21
CVS PHARMACY #03143,CHANDLER,AZ,80
CVS PHARMACY #03967,CHANDLER,AZ,120
CVS PHARMACY #05038,CHANDLER,AZ,80
CVS PHARMACY #05315,CHANDLER,AZ,40
CVS PHARMACY #05849,CHANDLER,AZ,40
CVS PHARMACY #07075,CHANDLER,AZ,40
CVS PHARMACY #16959,CHANDLER,AZ,80
SMITHS FOOD & DRUG CENTERS INC,CHANDLER,AZ,6176.02
SMITHS FOOD & DRUG CENTERS INC,CHANDLER,AZ,4749.64
SMITHS FOOD & DRUG CENTERS INC,CHANDLER,AZ,3989.96
SMITHS FOOD & DRUG CENTERS INC,CHANDLER,AZ,10643.94
CVS PHARMACY #09319,COTTONWOOD,AZ,120
SMITHS FOOD & DRUG CENTERS INC,COTTONWOOD,AZ,2275.61
CVS PHARMACY #09231,FLAGSTAFF,AZ,40
CVS PHARMACY #16354,FLAGSTAFF,AZ,40
SANDRA SMITH,FLAGSTAFF,AZ,2262.28
SMITHS FOOD & DRUG CENTERS INC,FLAGSTAFF,AZ,3357.04
CVS PHARMACY #09309,FORT MOHAVE,AZ,80
CVS PHARMACY #09279,FOUNTAIN HILLS,AZ,40
SMITHS FOOD & DRUG CENTERS INC,FOUNTAIN HILLS,AZ,3288.43
SMITHS FOOD & DRUG CENTERS INC,FT MOHAVE,AZ,4238.24
ARBOR MEDICAL PARTNERS,GILBERT,AZ,2255
CVS PHARMACY #03268,GILBERT,AZ,80
CVS PHARMACY #03272,GILBERT,AZ,40
CVS PHARMACY #08365,GILBERT,AZ,80
DESERT SHORES PEDIATRICS,GILBERT,AZ,17905.57
PRIMARY CARE PRACTICE OF AZ,GILBERT,AZ,13453.35
SMITHS FOOD & DRUG CENTERS INC,GILBERT,AZ,5607.33
SMITHS FOOD & DRUG CENTERS INC,GILBERT,AZ,6246.1
SMITHS FOOD & DRUG CENTERS INC,GILBERT,AZ,5435.85
SMITHS FOOD & DRUG CENTERS INC,GILBERT,AZ,3614.51
SMITHS FOOD & DRUG CENTERS INC,GILBERT,AZ,5569.4
SMITHS FOOD & DRUG CENTERS INC,GILBERT,AZ,4550.31
SMITHS FOOD & DRUG CENTERS INC,GILBERT,AZ,6323.66
SMITHS FOOD & DRUG CENTERS INC,GILBERT,AZ,5000.45
CVS PHARMACY #16700,GLENDALE,AZ,40
MIDWESTERN UNIVERSITY,GLENDALE,AZ,96.94
SMITHS FOOD & DRUG CENTERS INC,GLENDALE,AZ,3156.54
SMITHS FOOD & DRUG CENTERS INC,GLENDALE,AZ,5024.87
SMITHS FOOD & DRUG CENTERS INC,GLENDALE,AZ,3478.25
SMITHS FOOD & DRUG CENTERS INC,GLENDALE,AZ,4242.38
SMITHS FOOD & DRUG CENTERS INC,GLENDALE,AZ,3228.57
SMITHS FOOD & DRUG CENTERS INC,GLENDALE,AZ,15072.97
SMITHS FOOD & DRUG CENTERS INC,GLENDALE,AZ,5828.41
CVS PHARMACY #03749,GOODYEAR,AZ,40
CVS PHARMACY #16593,GOODYEAR,AZ,120
CVS PHARMACY #17463,GOODYEAR,AZ,120
SMITHS FOOD & DRUG CENTERS INC,GOODYEAR,AZ,4069.84
CVS PHARMACY #09254,GREEN VALLEY,AZ,160
CVS PHARMACY #08977,KINGMAN,AZ,280
SMITHS FOOD & DRUG CENTERS INC,KINGMAN,AZ,3071.24
SMITHS FOOD & DRUG CENTERS INC,LAKE HAVASU CITY,AZ,4024.41
SMITHS FOOD & DRUG CENTERS INC,LAVEEN,AZ,4125.26
CVS PHARMACY #05791,LITCHFIELD PARK,AZ,40
SMITHS FOOD & DRUG CENTERS INC,LITCHFIELD PARK,AZ,6587.64
SMITHS FOOD & DRUG CENTERS INC,MARANA,AZ,6559.14
SMITHS FOOD & DRUG CENTERS INC,MARANA,AZ,4680.61
CVS PHARMACY #06719,MARICOPA,AZ,80
SMITHS FOOD & DRUG CENTERS INC,MARICOPA,AZ,7781.47
CVS PHARMACY #03436,MESA,AZ,40
CVS PHARMACY #04795,MESA,AZ,160
CVS PHARMACY #05026,MESA,AZ,80
CVS PHARMACY #05303,MESA,AZ,80
CVS PHARMACY #05779,MESA,AZ,40
CVS PHARMACY #05814,MESA,AZ,40
CVS PHARMACY #07836,MESA,AZ,120
CVS PHARMACY #09213,MESA,AZ,40
CVS PHARMACY #09218,MESA,AZ,80
CVS PHARMACY #10616,MESA,AZ,40
CVS PHARMACY #16073,MESA,AZ,40
CVS PHARMACY #16725,MESA,AZ,80
CVS PHARMACY #17075,MESA,AZ,40
SMITHS FOOD & DRUG CENTERS INC,MESA,AZ,3457.97
SMITHS FOOD & DRUG CENTERS INC,MESA,AZ,4512.89
SMITHS FOOD & DRUG CENTERS INC,MESA,AZ,2629.16
SMITHS FOOD & DRUG CENTERS INC,MESA,AZ,18861.56
SMITHS FOOD & DRUG CENTERS INC,MESA,AZ,3438.1
SMITHS FOOD & DRUG CENTERS INC,MESA,AZ,3398.62
SMITHS FOOD & DRUG CENTERS INC,MESA,AZ,4937.16
SMITHS FOOD & DRUG CENTERS INC,MESA,AZ,5206.56
SMITHS FOOD & DRUG CENTERS INC,MESA,AZ,4035.27
SMITHS FOOD & DRUG CENTERS INC,MIAMI,AZ,1627.92
MARIPOSA COMMUNITY HEALTH CENTER,NOGALES,AZ,5968.12
CVS PHARMACY #10006,ORO VALLEY,AZ,40
CVS PHARMACY #16217,ORO VALLEY,AZ,40
SMITHS FOOD & DRUG CENTERS INC,ORO VALLEY,AZ,6461.76
SMITHS FOOD & DRUG CENTERS INC,ORO VALLEY,AZ,5850.45
CVS PHARMACY #03745,PEORIA,AZ,40
CVS PHARMACY #05794,PEORIA,AZ,80
CVS PHARMACY #08952,PEORIA,AZ,80
CVS PHARMACY #09294,PEORIA,AZ,160
SMITHS FOOD & DRUG CENTERS INC,PEORIA,AZ,10810.34
SMITHS FOOD & DRUG CENTERS INC,PEORIA,AZ,4787.83
SMITHS FOOD & DRUG CENTERS INC,PEORIA,AZ,4911.19
SMITHS FOOD & DRUG CENTERS INC,PEORIA,AZ,5151.59
ARIZONA CVS STORES L.L.C.,PHOENIX,AZ,160
COMMUNITY HEALTH AND IMMUNIZATION SERVICES LLC,PHOENIX,AZ,10304.36
CVS PHARMACY #01759,PHOENIX,AZ,120
CVS PHARMACY #03500,PHOENIX,AZ,40
CVS PHARMACY #03625,PHOENIX,AZ,40
CVS PHARMACY #05778,PHOENIX,AZ,40
CVS PHARMACY #06862,PHOENIX,AZ,40
CVS PHARMACY #07262,PHOENIX,AZ,40
CVS PHARMACY #07263,PHOENIX,AZ,40
CVS PHARMACY #07860,PHOENIX,AZ,80
CVS PHARMACY #08366,PHOENIX,AZ,40
CVS PHARMACY #08914,PHOENIX,AZ,40
CVS PHARMACY #09202,PHOENIX,AZ,40
CVS PHARMACY #09225,PHOENIX,AZ,40
CVS PHARMACY #09245,PHOENIX,AZ,280
CVS PHARMACY #09290,PHOENIX,AZ,40
CVS PHARMACY #09297,PHOENIX,AZ,40
CVS PHARMACY #09314,PHOENIX,AZ,80
CVS PHARMACY #09339,PHOENIX,AZ,80
CVS PHARMACY #09340,PHOENIX,AZ,320
CVS PHARMACY #09347,PHOENIX,AZ,80
CVS PHARMACY #10150,PHOENIX,AZ,80
CVS PHARMACY #10920,PHOENIX,AZ,80
CVS PHARMACY #16065,PHOENIX,AZ,40
CVS PHARMACY #16292,PHOENIX,AZ,40
CVS PHARMACY #16366,PHOENIX,AZ,120
CVS PHARMACY #16699,PHOENIX,AZ,40
CVS PHARMACY #17312,PHOENIX,AZ,40
SMITHS FOOD & DRUG CENTERS INC,PHOENIX,AZ,3812.21
SMITHS FOOD & DRUG CENTERS INC,PHOENIX,AZ,2262.44
SMITHS FOOD & DRUG CENTERS INC,PHOENIX,AZ,2634.89
SMITHS FOOD & DRUG CENTERS INC,PHOENIX,AZ,3688.03
SMITHS FOOD & DRUG CENTERS INC,PHOENIX,AZ,7549.6
SMITHS FOOD & DRUG CENTERS INC,PHOENIX,AZ,4810.67
SMITHS FOOD & DRUG CENTERS INC,PHOENIX,AZ,4582.85
SMITHS FOOD & DRUG CENTERS INC,PHOENIX,AZ,3946.08
SMITHS FOOD & DRUG CENTERS INC,PHOENIX,AZ,5727.04
SMITHS FOOD & DRUG CENTERS INC,PHOENIX,AZ,4502.87
SMITHS FOOD & DRUG CENTERS INC,PHOENIX,AZ,9568.01
SMITHS FOOD & DRUG CENTERS INC,PHOENIX,AZ,5181.61
SMITHS FOOD & DRUG CENTERS INC,PHOENIX,AZ,4376.03
SMITHS FOOD & DRUG CENTERS INC,PHOENIX,AZ,8023.49
SMITHS FOOD & DRUG CENTERS INC,PHOENIX,AZ,4850.3
SMITHS FOOD & DRUG CENTERS INC,PHOENIX,AZ,3653.78
SMITHS FOOD & DRUG CENTERS INC,PHOENIX,AZ,2878.6
SMITHS FOOD & DRUG CENTERS INC,PHOENIX,AZ,9034.54
SMITHS FOOD & DRUG CENTERS INC,PHOENIX,AZ,10393.74
SMITHS FOOD & DRUG CENTERS INC,PHOENIX,AZ,4560.56
SMITHS FOOD & DRUG CENTERS INC,PHOENIX,AZ,4569.05
SOBEL FAMILY MEDICINE AND PHYSICAL THERAPY,PHOENIX,AZ,1358.94
THE ARIZONA PARTNERSHIP FOR IMMUNIZATION,PHOENIX,AZ,187.61
CVS PHARMACY #09343,PRESCOTT,AZ,40
CVS PHARMACY #10147,PRESCOTT,AZ,160
SMITHS FOOD & DRUG CENTERS INC,PRESCOTT,AZ,6246.16
CVS PHARMACY #05983,PRESCOTT VALLEY,AZ,240
SMITHS FOOD & DRUG CENTERS INC,PRESCOTT VALLEY,AZ,4166.25
CVS PHARMACY #01720,QUEEN CREEK,AZ,40
CVS PHARMACY #17429,QUEEN CREEK,AZ,160
SMITHS FOOD & DRUG CENTERS INC,QUEEN CREEK,AZ,18.93
SMITHS FOOD & DRUG CENTERS INC,SAHUARITA,AZ,4726.19
SMITHS FOOD & DRUG CENTERS INC,SAN TAN VALLEY,AZ,4102.25
SMITHS FOOD & DRUG CENTERS INC,SAN TAN VALLEY,AZ,3776.68
CVS PHARMACY #00089,SCOTTSDALE,AZ,80
CVS PHARMACY #07862,SCOTTSDALE,AZ,80
CVS PHARMACY #09210,SCOTTSDALE,AZ,40
CVS PHARMACY #09252,SCOTTSDALE,AZ,200
CVS PHARMACY #09264,SCOTTSDALE,AZ,120
CVS PHARMACY #09328,SCOTTSDALE,AZ,120
CVS PHARMACY #10007,SCOTTSDALE,AZ,80
CVS PHARMACY #10529,SCOTTSDALE,AZ,160
CVS PHARMACY #16141,SCOTTSDALE,AZ,40
CVS PHARMACY #16355,SCOTTSDALE,AZ,40
CVS PHARMACY #16668,SCOTTSDALE,AZ,120
SMITHS FOOD & DRUG CENTERS INC,SCOTTSDALE,AZ,3912.26
SMITHS FOOD & DRUG CENTERS INC,SCOTTSDALE,AZ,7820.24
SMITHS FOOD & DRUG CENTERS INC,SCOTTSDALE,AZ,2513.8
SMITHS FOOD & DRUG CENTERS INC,SCOTTSDALE,AZ,3878.02
SMITHS FOOD & DRUG CENTERS INC,SCOTTSDALE,AZ,6407.16
SMITHS FOOD & DRUG CENTERS INC,SCOTTSDALE,AZ,4545.36
CVS PHARMACY #10425,SEDONA,AZ,80
CVS PHARMACY #08828,SIERRA VISTA,AZ,80
CVS PHARMACY #16220,SIERRA VISTA,AZ,40
MARC A. KAPLAN PLLC,SIERRA VISTA,AZ,40
SMITHS FOOD & DRUG CENTERS INC,SIERRA VISTA,AZ,3719.86
CVS PHARMACY #09217,SUN CITY,AZ,80
SMITHS FOOD & DRUG CENTERS INC,SUN CITY,AZ,11373.26
SMITHS FOOD & DRUG CENTERS INC,SUN CITY,AZ,5815.87
CVS PHARMACY #01743,SURPRISE,AZ,80
CVS PHARMACY #05477,SURPRISE,AZ,40
CVS PHARMACY #05530,SURPRISE,AZ,80
SMITHS FOOD & DRUG CENTERS INC,SURPRISE,AZ,15337.27
SMITHS FOOD & DRUG CENTERS INC,SURPRISE,AZ,3671.78
SMITHS FOOD & DRUG CENTERS INC,SURPRISE,AZ,2904.09
CVS PHARMACY #10815,TAYLOR,AZ,40
CVS PHARMACY #00033,TEMPE,AZ,40
CVS PHARMACY #00040,TEMPE,AZ,80
CVS PHARMACY #05950,TEMPE,AZ,120
CVS PHARMACY #07078,TEMPE,AZ,120
CVS PHARMACY #16110,TEMPE,AZ,80
CVS PHARMACY #17256,TEMPE,AZ,120
SMITHS FOOD & DRUG CENTERS INC,TEMPE,AZ,4931.97
SMITHS FOOD & DRUG CENTERS INC,TEMPE,AZ,3816.34
SMITHS FOOD & DRUG CENTERS INC,TEMPE,AZ,6318.72
SMITHS FOOD & DRUG CENTERS INC,TEMPE,AZ,8996.64
SMITHS FOOD & DRUG CENTERS INC,TEMPE,AZ,2894.78
CVS PHARMACY #17231,TOLLESON,AZ,40
CVS PHARMACY #07859,TUCSON,AZ,120
CVS PHARMACY #07867,TUCSON,AZ,120
CVS PHARMACY #08420,TUCSON,AZ,40
CVS PHARMACY #09207,TUCSON,AZ,40
CVS PHARMACY #09273,TUCSON,AZ,40
CVS PHARMACY #09274,TUCSON,AZ,40
CVS PHARMACY #09277,TUCSON,AZ,40
CVS PHARMACY #09302,TUCSON,AZ,40
CVS PHARMACY #09374,TUCSON,AZ,160
CVS PHARMACY #10184,TUCSON,AZ,80
CVS PHARMACY #10307,TUCSON,AZ,40
CVS PHARMACY #10742,TUCSON,AZ,160
CVS PHARMACY #16296,TUCSON,AZ,80
CVS PHARMACY #16659,TUCSON,AZ,40
CVS PHARMACY #16772,TUCSON,AZ,80
CVS PHARMACY #17223,TUCSON,AZ,120
DESERT LIFE PHARMACY LLC,TUCSON,AZ,14873.88
MDVIP365,TUCSON,AZ,814
NSI NURSING SERVICE INC.,TUCSON,AZ,222.17
SMITH'S FOOD & DRUG CENTERS INC,TUCSON,AZ,5245.34
SMITHS FOOD & DRUG CENTERS INC,TUCSON,AZ,4091.76
SMITHS FOOD & DRUG CENTERS INC,TUCSON,AZ,4786.9
SMITHS FOOD & DRUG CENTERS INC,TUCSON,AZ,5095
SMITHS FOOD & DRUG CENTERS INC,TUCSON,AZ,6243.83
SMITHS FOOD & DRUG CENTERS INC,TUCSON,AZ,5456.63
SMITHS FOOD & DRUG CENTERS INC,TUCSON,AZ,3286.05
SMITHS FOOD & DRUG CENTERS INC,TUCSON,AZ,4016.12
SMITHS FOOD & DRUG CENTERS INC,TUCSON,AZ,4164.51
SMITHS FOOD & DRUG CENTERS INC,TUCSON,AZ,5996.94
SMITHS FOOD & DRUG CENTERS INC,TUCSON,AZ,4679.13
SMITHS FOOD & DRUG CENTERS INC,TUCSON,AZ,4740.9
SMITHS FOOD & DRUG CENTERS INC,TUSCON,AZ,3970.26
CVS PHARMACY #09270,WICKENBURG,AZ,120
CVS PHARMACY #09278,YUMA,AZ,40
CVS PHARMACY #09334,YUMA,AZ,40
CVS PHARMACY #10028,YUMA,AZ,160
CVS PHARMACY #17171,YUMA,AZ,40
SMITHS FOOD & DRUG CENTERS INC,YUMA,AZ,3856.55
SMITHS FOOD AND DRUG CENTERS INC,YUMA,AZ,5063.42
AGOURA HILLS URGENTOCARE PC,AGOURA HILLS,CA,3680
CVS PHARMACY #09751,AGOURA HILLS,CA,40
CVS PHARMACY #09991,ALAMO,CA,40
CVS PHARMACY #09595,ALBANY,CA,160
CVS PHARMACY #03968,ALHAMBRA,CA,2360
CVS PHARMACY #09679,ALHAMBRA,CA,480
CVS PHARMACY #09791,ALHAMBRA,CA,40
LUNING CHEN M.D. MEDICAL CORPORATION,ALHAMBRA,CA,6960
CVS PHARMACY #08872,ALISO VIEJO,CA,40
LE/PHAM INC. DBA SOUTH MARINA PHARMACY,ALISO VIEJO,CA,3408.3
CVS PHARMACY #03025,ALPINE,CA,240
CVS PHARMACY #09560,ANAHEIM,CA,200
CVS PHARMACY #09753,ANAHEIM,CA,40
CVS PHARMACY #09759,ANAHEIM,CA,40
CVS PHARMACY #09760,ANAHEIM,CA,200
CVS PHARMACY #09762,ANAHEIM,CA,360
CVS PHARMACY #10225,ANAHEIM,CA,40
CVS PHARMACY #17478,ANAHEIM,CA,80
CVS PHARMACY #09774,ANAHEIM HILLS,CA,80
CVS PHARMACY #09539,ANGELS CAMP,CA,40
CVS PHARMACY #09311,APPLE VALLEY,CA,80
CVS PHARMACY #09680,ARCADIA,CA,840
CVS PHARMACY #09721,ARCADIA,CA,1120
HABIB MD INC,ARCADIA,CA,6.67
CVS PHARMACY #09625,ARLETA,CA,480
CVS PHARMACY #16040,ARLETA,CA,280
CVS PHARMACY #09488,ARTESIA,CA,120
CVS PHARMACY #03947,AUBURN,CA,40
CVS PHARMACY #09637,AZUSA,CA,40
CVS PHARMACY #09780,AZUSA,CA,440
CVS PHARMACY #17593,AZUSA,CA,80
CVS PHARMACY #02768,BAKERSFIELD,CA,40
CVS PHARMACY #08913,BAKERSFIELD,CA,40
CVS PHARMACY #09900,BAKERSFIELD,CA,80
CVS PHARMACY #09975,BAKERSFIELD,CA,40
CVS PHARMACY #16160,BAKERSFIELD,CA,40
CVS PHARMACY #16723,BAKERSFIELD,CA,40
CVS PHARMACY #17552,BAKERSFIELD,CA,80
PHAST PHARMACY,BAKERSFIELD,CA,40
CVS PHARMACY #05775,BALDWIN PARK,CA,120
CVS PHARMACY #09672,BALDWIN PARK,CA,120
CVS PHARMACY #09673,BALDWIN PARK,CA,280
