Comparison_Type,Week_Ending,Current_Season_Week_Ending_Label,Comparison_Group1,Comparison_Group2,Comparison_Group1_Point_Estimate,Comparison_Group2_Point_Estimate,Difference_Estimate,Difference_Estimate_Lower_95_CI,Difference_Estimate_Upper_95_CI,Signficant_at_95_Pct,Comparison_Group1_Sort_Order,Comparison_Group2_Sort_Order
Within Season Race Comparison,10/28/2023,10/28/2023,Hispanic,"Other, Non-Hispanic",28.8,31.8,-3,-7.19,1.24,,19,21
Within Season Race Comparison,10/28/2023,10/28/2023,"Black, Non-Hispanic","Other, Non-Hispanic",22,31.8,-9.8,-14.12,-5.53,*,18,21
Within Season Race Comparison,11/04/2023,11/04/2023,"Black, Non-Hispanic","Other, Non-Hispanic",30.2,36.9,-6.7,-8.93,-4.37,*,18,21
Within Season Race Comparison,11/04/2023,11/04/2023,Hispanic,"Other, Non-Hispanic",34.7,36.9,-2.2,-4.19,-0.19,*,19,21
Within Season Race Comparison,11/04/2023,11/04/2023,"White, Non-Hispanic","Other, Non-Hispanic",34.5,36.9,-2.4,-4.1,-0.67,*,20,21
Within Season Race Comparison,11/11/2023,11/11/2023,"White, Non-Hispanic","Other, Non-Hispanic",36.8,38.1,-1.2,-3.25,0.77,,20,21
Within Season Race Comparison,11/11/2023,11/11/2023,Hispanic,"Other, Non-Hispanic",36.7,38.1,-1.4,-3.73,0.9,,19,21
Within Season Race Comparison,11/11/2023,11/11/2023,"Black, Non-Hispanic","Other, Non-Hispanic",31.2,38.1,-6.9,-9.3,-4.43,*,18,21
Within Season Race Comparison,11/18/2023,11/18/2023,"Black, Non-Hispanic","Other, Non-Hispanic",31.5,39.5,-8,-10.6,-5.44,*,18,21
Within Season Race Comparison,11/18/2023,11/18/2023,Hispanic,"Other, Non-Hispanic",37.4,39.5,-2,-4.51,0.43,,19,21
Within Season Race Comparison,11/18/2023,11/18/2023,"White, Non-Hispanic","Other, Non-Hispanic",39,39.5,-0.5,-2.81,1.82,,20,21
Within Season Race Comparison,11/25/2023,11/25/2023,"White, Non-Hispanic","Other, Non-Hispanic",39.7,40.8,-1.1,-4.09,1.87,,20,21
Within Season Race Comparison,11/25/2023,11/25/2023,"Black, Non-Hispanic","Other, Non-Hispanic",31.7,40.8,-9.1,-12.28,-5.92,*,18,21
Within Season Race Comparison,11/25/2023,11/25/2023,Hispanic,"Other, Non-Hispanic",38.8,40.8,-2,-5.19,1.23,,19,21
Within Season Race Comparison,12/02/2023,12/02/2023,"Black, Non-Hispanic","Other, Non-Hispanic",37.9,48.2,-10.3,-12.83,-7.8,*,18,21
Within Season Race Comparison,12/02/2023,12/02/2023,"White, Non-Hispanic","Other, Non-Hispanic",43.3,48.2,-4.8,-6.87,-2.79,*,20,21
Within Season Race Comparison,12/02/2023,12/02/2023,Hispanic,"Other, Non-Hispanic",43.8,48.2,-4.4,-6.72,-2.1,*,19,21
Within Season Race Comparison,12/09/2023,12/09/2023,Hispanic,"Other, Non-Hispanic",43.8,48.5,-4.7,-7.01,-2.35,*,19,21
Within Season Race Comparison,12/09/2023,12/09/2023,"White, Non-Hispanic","Other, Non-Hispanic",44,48.5,-4.5,-6.56,-2.36,*,20,21
Within Season Race Comparison,12/09/2023,12/09/2023,"Black, Non-Hispanic","Other, Non-Hispanic",38,48.5,-10.5,-13.03,-7.95,*,18,21
Within Season Race Comparison,12/16/2023,12/16/2023,"Black, Non-Hispanic","Other, Non-Hispanic",38.8,48.5,-9.6,-12.44,-6.79,*,18,21
Within Season Race Comparison,12/16/2023,12/16/2023,"White, Non-Hispanic","Other, Non-Hispanic",44.2,48.5,-4.3,-6.37,-2.16,*,20,21
Within Season Race Comparison,12/16/2023,12/16/2023,Hispanic,"Other, Non-Hispanic",44.4,48.5,-4,-6.41,-1.6,*,19,21
Within Season Race Comparison,12/23/2023,12/23/2023,Hispanic,"Other, Non-Hispanic",45.2,48.5,-3.3,-5.77,-0.75,*,19,21
Within Season Race Comparison,12/23/2023,12/23/2023,"White, Non-Hispanic","Other, Non-Hispanic",44.4,48.5,-4.1,-6.24,-2.03,*,20,21
Within Season Race Comparison,12/23/2023,12/23/2023,"Black, Non-Hispanic","Other, Non-Hispanic",39.3,48.5,-9.2,-12.03,-6.27,*,18,21
Within Season Race Comparison,12/30/2023,12/30/2023,"Black, Non-Hispanic","Other, Non-Hispanic",39.3,48.5,-9.2,-12.03,-6.27,*,18,21
Within Season Race Comparison,12/30/2023,12/30/2023,"White, Non-Hispanic","Other, Non-Hispanic",44.4,48.5,-4.1,-6.23,-2.02,*,20,21
Within Season Race Comparison,12/30/2023,12/30/2023,Hispanic,"Other, Non-Hispanic",45.3,48.5,-3.2,-5.71,-0.68,*,19,21
Within Season Race Comparison,01/06/2024,01/06/2024,"White, Non-Hispanic","Other, Non-Hispanic",46.8,54,-7.2,-9.64,-4.84,*,20,21
Within Season Race Comparison,01/06/2024,01/06/2024,"Black, Non-Hispanic","Other, Non-Hispanic",42.2,54,-11.9,-14.73,-8.97,*,18,21
Within Season Race Comparison,01/06/2024,01/06/2024,Hispanic,"Other, Non-Hispanic",49.7,54,-4.3,-7,-1.62,*,19,21
Within Season Race Comparison,01/13/2024,01/13/2024,"Black, Non-Hispanic","Other, Non-Hispanic",42.2,54.2,-12,-14.82,-9.25,*,18,21
Within Season Race Comparison,01/13/2024,01/13/2024,"White, Non-Hispanic","Other, Non-Hispanic",46.9,54.2,-7.3,-9.63,-5.06,*,20,21
Within Season Race Comparison,01/13/2024,01/13/2024,Hispanic,"Other, Non-Hispanic",50.2,54.2,-4,-6.66,-1.44,*,19,21
Within Season Race Comparison,01/20/2024,01/20/2024,Hispanic,"Other, Non-Hispanic",50.9,54.3,-3.4,-6.07,-0.77,*,19,21
Within Season Race Comparison,01/20/2024,01/20/2024,"White, Non-Hispanic","Other, Non-Hispanic",47,54.3,-7.4,-9.63,-5.07,*,20,21
Within Season Race Comparison,01/20/2024,01/20/2024,"Black, Non-Hispanic","Other, Non-Hispanic",42.3,54.3,-12.1,-14.83,-9.27,*,18,21
Within Season Race Comparison,01/27/2024,01/27/2024,"Black, Non-Hispanic","Other, Non-Hispanic",42.5,54.8,-12.2,-15.17,-9.33,*,18,21
Within Season Race Comparison,01/27/2024,01/27/2024,Hispanic,"Other, Non-Hispanic",51.3,54.8,-3.5,-6.33,-0.69,*,19,21
Within Season Race Comparison,01/27/2024,01/27/2024,"White, Non-Hispanic","Other, Non-Hispanic",47.2,54.8,-7.5,-9.97,-5.13,*,20,21
Within Season Race Comparison,02/03/2024,02/03/2024,"White, Non-Hispanic","Other, Non-Hispanic",48.7,56.4,-7.7,-10.09,-5.35,*,20,21
Within Season Race Comparison,02/03/2024,02/03/2024,Hispanic,"Other, Non-Hispanic",53.5,56.4,-2.8,-5.55,-0.13,*,19,21
Within Season Race Comparison,02/03/2024,02/03/2024,"Black, Non-Hispanic","Other, Non-Hispanic",44.5,56.4,-11.9,-14.76,-8.96,*,18,21
Within Season Race Comparison,02/10/2024,02/10/2024,"Black, Non-Hispanic","Other, Non-Hispanic",44.7,56.6,-11.9,-14.8,-8.98,*,18,21
Within Season Race Comparison,02/10/2024,02/10/2024,Hispanic,"Other, Non-Hispanic",54.6,56.6,-2,-4.78,0.82,,19,21
Within Season Race Comparison,02/10/2024,02/10/2024,"White, Non-Hispanic","Other, Non-Hispanic",48.7,56.6,-7.8,-10.22,-5.47,*,20,21
Within Season Race Comparison,02/17/2024,02/17/2024,"White, Non-Hispanic","Other, Non-Hispanic",48.9,56.6,-7.7,-10.05,-5.29,*,20,21
Within Season Race Comparison,02/17/2024,02/17/2024,Hispanic,"Other, Non-Hispanic",54.6,56.6,-2,-4.79,0.81,,19,21
Within Season Race Comparison,02/17/2024,02/17/2024,"Black, Non-Hispanic","Other, Non-Hispanic",46,56.6,-10.6,-13.64,-7.5,*,18,21
Within Season Race Comparison,02/24/2024,02/24/2024,"Black, Non-Hispanic","Other, Non-Hispanic",46,56.6,-10.6,-13.64,-7.5,*,18,21
Within Season Race Comparison,02/24/2024,02/24/2024,Hispanic,"Other, Non-Hispanic",54.6,56.6,-2,-4.76,0.83,,19,21
Within Season Race Comparison,02/24/2024,02/24/2024,"White, Non-Hispanic","Other, Non-Hispanic",48.9,56.6,-7.7,-10.05,-5.29,*,20,21
Within Season Race Comparison,03/02/2024,03/02/2024,"White, Non-Hispanic","Other, Non-Hispanic",49.9,57.9,-8,-10.48,-5.53,*,20,21
Within Season Race Comparison,03/02/2024,03/02/2024,Hispanic,"Other, Non-Hispanic",56.3,57.9,-1.6,-4.5,1.23,,19,21
Within Season Race Comparison,03/02/2024,03/02/2024,"Black, Non-Hispanic","Other, Non-Hispanic",46.6,57.9,-11.3,-14.39,-8.25,*,18,21
Within Season Race Comparison,03/09/2024,03/09/2024,"Black, Non-Hispanic","Other, Non-Hispanic",46.9,57.9,-11,-14.09,-7.84,*,18,21
Within Season Race Comparison,03/09/2024,03/09/2024,Hispanic,"Other, Non-Hispanic",56.3,57.9,-1.6,-4.5,1.23,,19,21
Within Season Race Comparison,03/09/2024,03/09/2024,"White, Non-Hispanic","Other, Non-Hispanic",49.9,57.9,-8,-10.46,-5.5,*,20,21
Within Season Race Comparison,03/16/2024,03/16/2024,"White, Non-Hispanic","Other, Non-Hispanic",49.9,57.9,-8,-10.51,-5.56,*,20,21
Within Season Race Comparison,03/16/2024,03/16/2024,Hispanic,"Other, Non-Hispanic",56.3,57.9,-1.7,-4.55,1.18,,19,21
Within Season Race Comparison,03/16/2024,03/16/2024,"Black, Non-Hispanic","Other, Non-Hispanic",47,57.9,-10.9,-14.01,-7.81,*,18,21
Within Season Race Comparison,03/23/2024,03/23/2024,"Black, Non-Hispanic","Other, Non-Hispanic",47.4,58.2,-10.8,-13.94,-7.67,*,18,21
Within Season Race Comparison,03/23/2024,03/23/2024,Hispanic,"Other, Non-Hispanic",56.3,58.2,-1.9,-4.76,1,,19,21
Within Season Race Comparison,03/23/2024,03/23/2024,"White, Non-Hispanic","Other, Non-Hispanic",49.9,58.2,-8.3,-10.78,-5.79,*,20,21
Within Season Race Comparison,03/30/2024,03/30/2024,"White, Non-Hispanic","Other, Non-Hispanic",50,58.3,-8.3,-10.8,-5.8,*,20,21
Within Season Race Comparison,03/30/2024,03/30/2024,Hispanic,"Other, Non-Hispanic",56.3,58.3,-1.9,-4.83,0.94,,19,21
Within Season Race Comparison,03/30/2024,03/30/2024,"Black, Non-Hispanic","Other, Non-Hispanic",47.4,58.3,-10.9,-14.01,-7.73,*,18,21
Within Season Race Comparison,04/06/2024,04/06/2024,"Black, Non-Hispanic","Other, Non-Hispanic",48.2,58.8,-10.7,-13.88,-7.44,*,18,21
Within Season Race Comparison,04/06/2024,04/06/2024,Hispanic,"Other, Non-Hispanic",58.6,58.8,-0.2,-3.23,2.84,,19,21
Within Season Race Comparison,04/06/2024,04/06/2024,"White, Non-Hispanic","Other, Non-Hispanic",50.4,58.8,-8.4,-10.94,-5.88,*,20,21
Within Season Race Comparison,04/13/2024,04/13/2024,"White, Non-Hispanic","Other, Non-Hispanic",50.6,58.8,-8.2,-10.8,-5.69,*,20,21
Within Season Race Comparison,04/13/2024,04/13/2024,Hispanic,"Other, Non-Hispanic",58.7,58.8,-0.2,-3.19,2.88,,19,21
Within Season Race Comparison,04/13/2024,04/13/2024,"Black, Non-Hispanic","Other, Non-Hispanic",48.2,58.8,-10.7,-13.88,-7.44,*,18,21
Within Season Race Comparison,04/20/2024,04/20/2024,"Black, Non-Hispanic","Other, Non-Hispanic",48.2,58.8,-10.6,-13.83,-7.41,*,18,21
Within Season Race Comparison,04/20/2024,04/20/2024,Hispanic,"Other, Non-Hispanic",59,58.8,0.2,-2.86,3.24,,19,21
Within Season Race Comparison,04/20/2024,04/20/2024,"White, Non-Hispanic","Other, Non-Hispanic",50.7,58.8,-8.1,-10.69,-5.58,*,20,21
Within Season Race Comparison,04/27/2024,04/27/2024,"White, Non-Hispanic","Other, Non-Hispanic",50.7,58.8,-8.1,-10.66,-5.56,*,20,21
Within Season Race Comparison,04/27/2024,04/27/2024,Hispanic,"Other, Non-Hispanic",59.2,58.8,0.4,-2.69,3.47,,19,21
Within Season Race Comparison,04/27/2024,04/27/2024,"Black, Non-Hispanic","Other, Non-Hispanic",48.2,58.8,-10.6,-13.83,-7.41,*,18,21
Within Season Race Comparison,05/04/2024,05/04/2024,"Black, Non-Hispanic","Other, Non-Hispanic",49.1,58.8,-9.8,-13.2,-6.35,*,18,21
Within Season Race Comparison,05/04/2024,05/04/2024,Hispanic,"Other, Non-Hispanic",59.6,58.8,0.8,-2.36,3.88,,19,21
Within Season Race Comparison,05/04/2024,05/04/2024,"White, Non-Hispanic","Other, Non-Hispanic",51.1,58.8,-7.7,-10.31,-5.13,*,20,21
Within Season Race Comparison,05/11/2024,05/11/2024,"White, Non-Hispanic","Other, Non-Hispanic",51.1,58.8,-7.7,-10.31,-5.13,*,20,21
Within Season Race Comparison,05/11/2024,05/11/2024,Hispanic,"Other, Non-Hispanic",59.6,58.8,0.8,-2.36,3.88,,19,21
Within Season Race Comparison,05/11/2024,05/11/2024,"Black, Non-Hispanic","Other, Non-Hispanic",49.1,58.8,-9.8,-13.2,-6.35,*,18,21
Within Season Race Comparison,10/07/2023,10/07/2023,"Black, Non-Hispanic","White, Non-Hispanic",17.6,15.8,1.8,-0.09,3.68,,18,20
Within Season Race Comparison,10/07/2023,10/07/2023,Hispanic,"White, Non-Hispanic",21.5,15.8,5.7,4.28,7.17,*,19,20
Within Season Race Comparison,10/14/2023,10/14/2023,Hispanic,"White, Non-Hispanic",23.6,19.2,4.4,2.65,6.19,*,19,20
Within Season Race Comparison,10/14/2023,10/14/2023,"Black, Non-Hispanic","White, Non-Hispanic",18.8,19.2,-0.4,-2.38,1.54,,18,20
Within Season Race Comparison,10/21/2023,10/21/2023,"Black, Non-Hispanic","White, Non-Hispanic",20.4,23.3,-2.9,-5.18,-0.63,*,18,20
Within Season Race Comparison,10/21/2023,10/21/2023,Hispanic,"White, Non-Hispanic",27.1,23.3,3.8,1.55,6,*,19,20
Within Season Race Comparison,10/28/2023,10/28/2023,Hispanic,"White, Non-Hispanic",28.8,24.9,3.9,1.4,6.46,*,19,20
Within Season Race Comparison,10/28/2023,10/28/2023,"Black, Non-Hispanic","White, Non-Hispanic",22,24.9,-2.9,-5.58,-0.26,*,18,20
Within Season Race Comparison,11/04/2023,11/04/2023,"Black, Non-Hispanic","White, Non-Hispanic",30.2,34.5,-4.3,-6.15,-2.38,*,18,20
Within Season Race Comparison,11/04/2023,11/04/2023,Hispanic,"White, Non-Hispanic",34.7,34.5,0.2,-1.34,1.72,,19,20
Within Season Race Comparison,11/11/2023,11/11/2023,Hispanic,"White, Non-Hispanic",36.7,36.8,-0.2,-2.06,1.71,,19,20
Within Season Race Comparison,11/11/2023,11/11/2023,"Black, Non-Hispanic","White, Non-Hispanic",31.2,36.8,-5.6,-7.65,-3.59,*,18,20
Within Season Race Comparison,11/18/2023,11/18/2023,"Black, Non-Hispanic","White, Non-Hispanic",31.5,39,-7.5,-9.61,-5.43,*,18,20
Within Season Race Comparison,11/18/2023,11/18/2023,Hispanic,"White, Non-Hispanic",37.4,39,-1.5,-3.5,0.41,,19,20
Within Season Race Comparison,11/25/2023,11/25/2023,"Black, Non-Hispanic","White, Non-Hispanic",31.7,39.7,-8,-10.16,-5.83,*,18,20
Within Season Race Comparison,11/25/2023,11/25/2023,Hispanic,"White, Non-Hispanic",38.8,39.7,-0.9,-3.09,1.35,,19,20
Within Season Race Comparison,12/02/2023,12/02/2023,"Black, Non-Hispanic","White, Non-Hispanic",37.9,43.3,-5.5,-7.38,-3.59,*,18,20
Within Season Race Comparison,12/02/2023,12/02/2023,Hispanic,"White, Non-Hispanic",43.8,43.3,0.4,-1.18,2.03,,19,20
Within Season Race Comparison,12/09/2023,12/09/2023,Hispanic,"White, Non-Hispanic",43.8,44,-0.2,-1.88,1.44,,19,20
Within Season Race Comparison,12/09/2023,12/09/2023,"Black, Non-Hispanic","White, Non-Hispanic",38,44,-6,-7.97,-4.09,*,18,20
Within Season Race Comparison,12/16/2023,12/16/2023,"Black, Non-Hispanic","White, Non-Hispanic",38.8,44.2,-5.4,-7.66,-3.05,*,18,20
Within Season Race Comparison,12/16/2023,12/16/2023,Hispanic,"White, Non-Hispanic",44.4,44.2,0.3,-1.51,2.02,,19,20
Within Season Race Comparison,12/23/2023,12/23/2023,Hispanic,"White, Non-Hispanic",45.2,44.4,0.9,-1.04,2.78,,19,20
Within Season Race Comparison,12/23/2023,12/23/2023,"Black, Non-Hispanic","White, Non-Hispanic",39.3,44.4,-5,-7.39,-2.65,*,18,20
Within Season Race Comparison,12/30/2023,12/30/2023,"Black, Non-Hispanic","White, Non-Hispanic",39.3,44.4,-5,-7.4,-2.66,*,18,20
Within Season Race Comparison,12/30/2023,12/30/2023,Hispanic,"White, Non-Hispanic",45.3,44.4,0.9,-0.99,2.84,,19,20
Within Season Race Comparison,01/06/2024,01/06/2024,"Black, Non-Hispanic","White, Non-Hispanic",42.2,46.8,-4.6,-6.65,-2.58,*,18,20
Within Season Race Comparison,01/06/2024,01/06/2024,Hispanic,"White, Non-Hispanic",49.7,46.8,2.9,1.17,4.68,*,19,20
Within Season Race Comparison,01/13/2024,01/13/2024,"Black, Non-Hispanic","White, Non-Hispanic",42.2,46.9,-4.7,-6.72,-2.65,*,18,20
Within Season Race Comparison,01/13/2024,01/13/2024,Hispanic,"White, Non-Hispanic",50.2,46.9,3.3,1.5,5.09,*,19,20
Within Season Race Comparison,01/20/2024,01/20/2024,"Black, Non-Hispanic","White, Non-Hispanic",42.3,47,-4.7,-6.74,-2.65,*,18,20
Within Season Race Comparison,01/20/2024,01/20/2024,Hispanic,"White, Non-Hispanic",50.9,47,3.9,2.07,5.8,*,19,20
Within Season Race Comparison,01/27/2024,01/27/2024,Hispanic,"White, Non-Hispanic",51.3,47.2,4,2.06,6.01,*,19,20
Within Season Race Comparison,01/27/2024,01/27/2024,"Black, Non-Hispanic","White, Non-Hispanic",42.5,47.2,-4.7,-6.81,-2.59,*,18,20
Within Season Race Comparison,02/03/2024,02/03/2024,Hispanic,"White, Non-Hispanic",53.5,48.7,4.9,3,6.76,*,19,20
Within Season Race Comparison,02/03/2024,02/03/2024,"Black, Non-Hispanic","White, Non-Hispanic",44.5,48.7,-4.1,-6.28,-2,*,18,20
Within Season Race Comparison,02/10/2024,02/10/2024,"Black, Non-Hispanic","White, Non-Hispanic",44.7,48.7,-4,-6.19,-1.9,*,18,20
Within Season Race Comparison,02/10/2024,02/10/2024,Hispanic,"White, Non-Hispanic",54.6,48.7,5.9,3.88,7.86,*,19,20
Within Season Race Comparison,02/17/2024,02/17/2024,Hispanic,"White, Non-Hispanic",54.6,48.9,5.7,3.68,7.68,*,19,20
Within Season Race Comparison,02/17/2024,02/17/2024,"Black, Non-Hispanic","White, Non-Hispanic",46,48.9,-2.9,-5.27,-0.53,*,18,20
Within Season Race Comparison,02/24/2024,02/24/2024,"Black, Non-Hispanic","White, Non-Hispanic",46,48.9,-2.9,-5.27,-0.53,*,18,20
Within Season Race Comparison,02/24/2024,02/24/2024,Hispanic,"White, Non-Hispanic",54.6,48.9,5.7,3.71,7.7,*,19,20
Within Season Race Comparison,03/02/2024,03/02/2024,Hispanic,"White, Non-Hispanic",56.3,49.9,6.4,4.37,8.37,*,19,20
Within Season Race Comparison,03/02/2024,03/02/2024,"Black, Non-Hispanic","White, Non-Hispanic",46.6,49.9,-3.3,-5.59,-1.03,*,18,20
Within Season Race Comparison,03/09/2024,03/09/2024,Hispanic,"White, Non-Hispanic",56.3,49.9,6.3,4.35,8.35,*,19,20
Within Season Race Comparison,03/09/2024,03/09/2024,"Black, Non-Hispanic","White, Non-Hispanic",46.9,49.9,-3,-5.34,-0.63,*,18,20
Within Season Race Comparison,03/16/2024,03/16/2024,"Black, Non-Hispanic","White, Non-Hispanic",47,49.9,-2.9,-5.2,-0.55,*,18,20
Within Season Race Comparison,03/16/2024,03/16/2024,Hispanic,"White, Non-Hispanic",56.3,49.9,6.3,4.35,8.35,*,19,20
Within Season Race Comparison,03/23/2024,03/23/2024,Hispanic,"White, Non-Hispanic",56.3,49.9,6.4,4.41,8.4,*,19,20
Within Season Race Comparison,03/23/2024,03/23/2024,"Black, Non-Hispanic","White, Non-Hispanic",47.4,49.9,-2.5,-4.87,-0.17,*,18,20
Within Season Race Comparison,03/30/2024,03/30/2024,Hispanic,"White, Non-Hispanic",56.3,50,6.4,4.35,8.35,*,19,20
Within Season Race Comparison,03/30/2024,03/30/2024,"Black, Non-Hispanic","White, Non-Hispanic",47.4,50,-2.6,-4.92,-0.22,*,18,20
Within Season Race Comparison,04/06/2024,04/06/2024,"Black, Non-Hispanic","White, Non-Hispanic",48.2,50.4,-2.3,-4.68,0.18,,18,20
Within Season Race Comparison,04/06/2024,04/06/2024,Hispanic,"White, Non-Hispanic",58.6,50.4,8.2,6.02,10.4,*,19,20
Within Season Race Comparison,04/13/2024,04/13/2024,Hispanic,"White, Non-Hispanic",58.7,50.6,8.1,5.88,10.3,*,19,20
Within Season Race Comparison,04/13/2024,04/13/2024,"Black, Non-Hispanic","White, Non-Hispanic",48.2,50.6,-2.4,-4.87,0.04,,18,20
