Title,Author(s),Journal,Fiscal Year,Publication Year,DOI Link,All Authors,Category Topics,Journal Information,Keyword Search Expanded,URL,Row
A conceptual framework and metrics for evaluating multicomponent interventions to increase colorectal cancer screening within an organized screening program.,"Subramanian S, Hoover S, Tangka FKL, DeGroff A, Soloe CS, Arena LC, Schlueter DF, Joseph DA, Wong FL.",Cancer,2019,2018,https://dx.doi.org/10.1002/cncr.31686,"Subramanian S, Hoover S, Tangka FKL, DeGroff A, Soloe CS, Arena LC, Schlueter DF, Joseph DA, Wong FL.",Colorectal (Colon) Cancer,Journal: Cancer (Volume: 124; Issue: 21; Pages: 4154 - 4162),"A conceptual framework and metrics for evaluating multicomponent interventions to increase colorectal cancer screening within an organized screening program.|Subramanian S|Hoover S, Tangka FKL, DeGroff A, Soloe CS, Arena LC, Schlueter DF, Joseph DA, Wong FL.|Cancer|124",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6289181/,11
"A content analysis of news coverage of the HPV vaccine by U.S. newspapers, January 2002–June 2005.","Calloway C, Jorgensen CM, Saraiya M, Tsui J.",Journal of Women's Health,2006,2006,https://dx.doi.org/10.1089/jwh.2006.15.803,"Calloway C, Jorgensen CM, Saraiya M, Tsui J.",Cervical Cancer,Journal: Journal of Women's Health (Volume: 15; Issue: 7; Pages: 803 - 809),"A content analysis of news coverage of the HPV vaccine by U.S. newspapers, January 2002–June 2005.|Calloway C|Jorgensen CM, Saraiya M, Tsui J.|Journal of Women's Health|15",http://www.ncbi.nlm.nih.gov/pubmed/16999634,12
A course of action on skin cancer.,"Moore G.,",Business and Health,2001,2001,,"Moore G.,",Skin Cancer,Journal: Business and Health (Volume: 19; Issue: 4; Pages: 40 - 40),A course of action on skin cancer.|Moore G.||Business and Health|19,http://www.ncbi.nlm.nih.gov/pubmed/11357281,13
A door-to-door approach to cervical cancer screening.,"Saraiya M, Senkomago V.",Lancet Global Health,2015,2015,https://dx.doi.org/10.1016/S2214-109X(14)70367-5,"Saraiya M, Senkomago V.",Cervical Cancer,Journal: Lancet Global Health (Volume: 3; Issue: 2; Pages: e63 - e64),A door-to-door approach to cervical cancer screening.|Saraiya M|Senkomago V.|Lancet Global Health|3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4521385/,14
A framework for cancer health economics research.,"Halpern MT, Shih YT, Yabroff KR, Ekwueme DU, Bradley CJ, Davidoff AJ, Sabik LM, Lipscomb J.",Cancer,2021,2020,https://dx.doi.org/10.1002/cncr.33343,"Halpern MT, Shih YT, Yabroff KR, Ekwueme DU, Bradley CJ, Davidoff AJ, Sabik LM, Lipscomb J.",Other Research,Journal: Cancer (Volume: ; Issue: ; Pages:  - ),"A framework for cancer health economics research.|Halpern MT|Shih YT, Yabroff KR, Ekwueme DU, Bradley CJ, Davidoff AJ, Sabik LM, Lipscomb J.|Cancer|",https://pubmed.ncbi.nlm.nih.gov/33237590/,15
"A Gynecologic Oncology Group study of platinum-DNA adducts and excision repair cross-complementation group 1 expression in optimal, stage III epithelial ovarian cancer treated with platinum-taxane chemotherapy.","Darcy KM, Tian C, Reed E.",Cancer Research,2007,2007,https://dx.doi.org/10.1158/0008-5472.CAN-06-4076,"Darcy KM, Tian C, Reed E.",Gynecologic Cancers,Journal: Cancer Research (Volume: 67; Issue: 9; Pages: 4474 - 4481),"A Gynecologic Oncology Group study of platinum-DNA adducts and excision repair cross-complementation group 1 expression in optimal, stage III epithelial ovarian cancer treated with platinum-taxane chemotherapy.|Darcy KM|Tian C, Reed E.|Cancer Research|67",http://www.ncbi.nlm.nih.gov/pubmed/17483363,16
A literature review of the social and psychological needs of ovarian cancer survivors.,"Roland KB, Rodriguez JL, Patterson JR, Trivers KF.",Psycho-oncology,2013,2013,https://dx.doi.org/10.1002/pon.3322,"Roland KB, Rodriguez JL, Patterson JR, Trivers KF.",Cancer Survivorship,Journal: Psycho-oncology (Volume: 22; Issue: 11; Pages: 2408 - 2418),"A literature review of the social and psychological needs of ovarian cancer survivors.|Roland KB|Rodriguez JL, Patterson JR, Trivers KF.|Psycho-oncology|22",http://www.ncbi.nlm.nih.gov/pubmed/23760742,17
A meta-analysis of estrogen replacement therapy and risk of epithelial ovarian cancer.,"Coughlin SS, Giustozzi A, Smith SJ, Lee NC.",Journal of Clinical Epidemiology,2000,2000,https://dx.doi.org/10.1016/s0895-4356(99)00179-1,"Coughlin SS, Giustozzi A, Smith SJ, Lee NC.",Gynecologic Cancers,Journal: Journal of Clinical Epidemiology (Volume: 53; Issue: 4; Pages: 367 - 375),"A meta-analysis of estrogen replacement therapy and risk of epithelial ovarian cancer.|Coughlin SS|Giustozzi A, Smith SJ, Lee NC.|Journal of Clinical Epidemiology|53",http://www.ncbi.nlm.nih.gov/pubmed/10785567,18
"A method to adjust for stage coding changes in the National Program of Cancer Registries, illustrated for colorectal cancer.","Austin H, Duong LM, King J, Richardson LC, Eheman C.",Journal of Registry Management,2012,2012,,"Austin H, Duong LM, King J, Richardson LC, Eheman C.",Colorectal (Colon) Cancer,Journal: Journal of Registry Management (Volume: 39; Issue: 2; Pages: 62 - 68),"A method to adjust for stage coding changes in the National Program of Cancer Registries, illustrated for colorectal cancer.|Austin H|Duong LM, King J, Richardson LC, Eheman C.|Journal of Registry Management|39",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4487808/,19
A midpoint assessment of the American Cancer Society challenge goal to decrease cancer incidence by 25% between 1992 and 2015.,"Sedjo RL, Byers T, Barrera E Jr, Cohen C, Fontham ET, Newman LA, Runowicz CD, Thorson AG, Thun MJ, Ward E, Wender RC, Eyre HJ; for the ACS Cancer Incidence & Mortality Ends Committee.",CA: A Cancer Journal for Clinicians,2008,2007,https://dx.doi.org/10.3322/CA.57.6.326,"Sedjo RL, Byers T, Barrera E Jr, Cohen C, Fontham ET, Newman LA, Runowicz CD, Thorson AG, Thun MJ, Ward E, Wender RC, Eyre HJ; for the ACS Cancer Incidence & Mortality Ends Committee.",Other Research,Journal: CA: A Cancer Journal for Clinicians (Volume: 57; Issue: 6; Pages: 326 - 340),"A midpoint assessment of the American Cancer Society challenge goal to decrease cancer incidence by 25% between 1992 and 2015.|Sedjo RL|Byers T, Barrera E Jr, Cohen C, Fontham ET, Newman LA, Runowicz CD, Thorson AG, Thun MJ, Ward E, Wender RC, Eyre HJ; for the ACS Cancer Incidence & Mortality Ends Committee.|CA: A Cancer Journal for Clinicians|57",http://www.ncbi.nlm.nih.gov/pubmed/17989128,20
A national framework for cancer surveillance in the United States.,"Wingo PA, Howe HL, Thun MJ, Ballard-Barbash R, Ward E, Brown ML, Sylvester J, Friedell GH, Alley L, Rowland JH, Edwards BK.",Cancer Causes and Control,2005,2005,https://dx.doi.org/10.1007/s10552-004-3487-5,"Wingo PA, Howe HL, Thun MJ, Ballard-Barbash R, Ward E, Brown ML, Sylvester J, Friedell GH, Alley L, Rowland JH, Edwards BK.",NPCR,Journal: Cancer Causes and Control (Volume: 16; Issue: 2; Pages: 151 - 170),"A national framework for cancer surveillance in the United States.|Wingo PA|Howe HL, Thun MJ, Ballard-Barbash R, Ward E, Brown ML, Sylvester J, Friedell GH, Alley L, Rowland JH, Edwards BK.|Cancer Causes and Control|16",http://www.ncbi.nlm.nih.gov/pubmed/15868456,21
A national initiative for women and healthcare providers: CDC's Inside Knowledge: Get the Facts About Gynecologic Cancer campaign.,"Rim SH, Polonec L, Stewart SL, Gelb CA.",Journal of Women's Health,2011,2011,https://dx.doi.org/10.1089/jwh.2011.3202,"Rim SH, Polonec L, Stewart SL, Gelb CA.",Cervical Cancer,Journal: Journal of Women's Health (Volume: 20; Issue: 11; Pages: 1579 - 1585),"A national initiative for women and healthcare providers: CDC's Inside Knowledge: Get the Facts About Gynecologic Cancer campaign.|Rim SH|Polonec L, Stewart SL, Gelb CA.|Journal of Women's Health|20",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4480627/,22
A national survey of medical students’ beliefs and knowledge in screening for prostate cancer.,"Marcella S, Delnevo CD, Coughlin SS",Journal of General Internal Medicine,2007,2007,https://dx.doi.org/10.1007/s11606-006-0015-1,"Marcella S, Delnevo CD, Coughlin SS",Prostate Cancer,Journal: Journal of General Internal Medicine (Volume: 22; Issue: 1; Pages: 80 - 85),"A national survey of medical students’ beliefs and knowledge in screening for prostate cancer.|Marcella S|Delnevo CD, Coughlin SS|Journal of General Internal Medicine|22",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1824714/,23
A national survey of primary care physicians’ colorectal cancer screening recommendations and practices.,"Klabunde CN, Frame PS, Meadow A, Jones E, Nadel M, Vernon SW.",Preventive Medicine,2003,2003,https://dx.doi.org/10.1016/s0091-7435(02)00066-x,"Klabunde CN, Frame PS, Meadow A, Jones E, Nadel M, Vernon SW.",Colorectal (Colon) Cancer,Journal: Preventive Medicine (Volume: 36; Issue: 3; Pages: 352 - 362),"A national survey of primary care physicians’ colorectal cancer screening recommendations and practices.|Klabunde CN|Frame PS, Meadow A, Jones E, Nadel M, Vernon SW.|Preventive Medicine|36",http://www.ncbi.nlm.nih.gov/pubmed/12634026,24
A national survey of primary care physicians’ methods for screening for fecal occult blood.,"Nadel MR, Shapiro JS, Klabunde CN, Seeff LC, Uhler R, Smith RA, Ransohoff DF.",Annals of Internal Medicine,2005,2005,https://dx.doi.org/10.7326/0003-4819-142-2-200501180-00007,"Nadel MR, Shapiro JS, Klabunde CN, Seeff LC, Uhler R, Smith RA, Ransohoff DF.",Colorectal (Colon) Cancer,Journal: Annals of Internal Medicine (Volume: 142; Issue: 2; Pages: 86 - 94),"A national survey of primary care physicians’ methods for screening for fecal occult blood.|Nadel MR|Shapiro JS, Klabunde CN, Seeff LC, Uhler R, Smith RA, Ransohoff DF.|Annals of Internal Medicine|142",http://www.ncbi.nlm.nih.gov/pubmed/15657156,25
A need for improved understanding about USPSTF and other evidence-based recommendations.,"Saraiya M, Benard V, White M.",Preventive Medicine,2014,2014,https://dx.doi.org/10.1016/j.ypmed.2013.12.028,"Saraiya M, Benard V, White M.",Breast Cancer,Journal: Preventive Medicine (Volume: 60; Issue: ; Pages: 12 - 12),"A need for improved understanding about USPSTF and other evidence-based recommendations.|Saraiya M|Benard V, White M.|Preventive Medicine|60",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5530253/,26
A new methodological approach to adjust alcohol exposure distributions to improve the estimation of alcohol-attributable fractions.,"Parish WJ, Aldridge A, Allaire B, Ekwueme DU, Phelps D, Guy GP Jr, Thomas CC, Trogdon JG.",Addiction,2017,2017,https://dx.doi.org/10.1111/add.13880,"Parish WJ, Aldridge A, Allaire B, Ekwueme DU, Phelps D, Guy GP Jr, Thomas CC, Trogdon JG.",Other Research,Journal: Addiction (Volume: 112; Issue: 11; Pages: 2053 - 2063),"A new methodological approach to adjust alcohol exposure distributions to improve the estimation of alcohol-attributable fractions.|Parish WJ|Aldridge A, Allaire B, Ekwueme DU, Phelps D, Guy GP Jr, Thomas CC, Trogdon JG.|Addiction|112",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5854478/,27
A novel public health approach to measuring tobacco cessation needs among cancer survivors in Alaska.,"Underwood JM, Hyde-Rolland SJ, Thorsness J, Stewart SL.",Journal of Community Health,2017,2017,https://dx.doi.org/10.1007/s10900-017-0341-8,"Underwood JM, Hyde-Rolland SJ, Thorsness J, Stewart SL.",Cancer Survivorship,Journal: Journal of Community Health (Volume: 42; Issue: 5; Pages: 956 - 961),"A novel public health approach to measuring tobacco cessation needs among cancer survivors in Alaska.|Underwood JM|Hyde-Rolland SJ, Thorsness J, Stewart SL.|Journal of Community Health|42",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5696108/,28
A phase II study of irofulven in women with recurrent and heavily pretreated ovarian cancer.,"Seiden MV, Gordon AN, Bodurka DC, Matulonis UA, Penson RT, Reed E, Alberts DS, Weems G, Cullen M, McGuire WP 3rd.",Gynecologic Oncology,2006,2006,https://dx.doi.org/10.1016/j.ygyno.2005.09.036,"Seiden MV, Gordon AN, Bodurka DC, Matulonis UA, Penson RT, Reed E, Alberts DS, Weems G, Cullen M, McGuire WP 3rd.",Gynecologic Cancers,Journal: Gynecologic Oncology (Volume: 101; Issue: 1; Pages: 55 - 61),"A phase II study of irofulven in women with recurrent and heavily pretreated ovarian cancer.|Seiden MV|Gordon AN, Bodurka DC, Matulonis UA, Penson RT, Reed E, Alberts DS, Weems G, Cullen M, McGuire WP 3rd.|Gynecologic Oncology|101",http://www.ncbi.nlm.nih.gov/pubmed/16260029,29
A population study of screening history and diagnostic outcomes of women with invasive cervical cancer.,"Benard VB, Jackson JE, Greek A, Senkomago V, Huh WK, Thomas CC, Richardson LC.",Cancer Medicine,2021,2021,https://dx.doi.org/10.1002/cam4.3951,"Benard VB, Jackson JE, Greek A, Senkomago V, Huh WK, Thomas CC, Richardson LC.",Cervical Cancer,Journal: Cancer Medicine (Volume: ; Issue: ; Pages:  - ),"A population study of screening history and diagnostic outcomes of women with invasive cervical cancer.|Benard VB|Jackson JE, Greek A, Senkomago V, Huh WK, Thomas CC, Richardson LC.|Cancer Medicine|",https://pubmed.ncbi.nlm.nih.gov/34018674/,30
"A population-based study of colorectal cancer histology in the United States, 1998-2001.","Stewart SL, Wike JM, Kato I, Lewis DR, Michaud F.",Cancer,2006,2006,https://dx.doi.org/10.1002/cncr.22010,"Stewart SL, Wike JM, Kato I, Lewis DR, Michaud F.",Colorectal (Colon) Cancer,Journal: Cancer (Volume: 107; Issue: 5 Suppl; Pages: 112 - 141),"A population-based study of colorectal cancer histology in the United States, 1998-2001.|Stewart SL|Wike JM, Kato I, Lewis DR, Michaud F.|Cancer|107",http://www.ncbi.nlm.nih.gov/pubmed/16802325,31
A process evaluation of the Alaska Native Colorectal Cancer Family Outreach Program.,"Redwood D., Provost E, Lopez ED, Skewes M, Johnson R, Christensen C, Sacco F, Haverkamp D.",Health Education and Behavior,2015,2015,https://dx.doi.org/10.1177/1090198115590781,"Redwood D., Provost E, Lopez ED, Skewes M, Johnson R, Christensen C, Sacco F, Haverkamp D.",Colorectal (Colon) Cancer,Journal: Health Education and Behavior (Volume: 43; Issue: 1; Pages: 35 - 42),"A process evaluation of the Alaska Native Colorectal Cancer Family Outreach Program.|Redwood D.|Provost E, Lopez ED, Skewes M, Johnson R, Christensen C, Sacco F, Haverkamp D.|Health Education and Behavior|43",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4706499/,32
A proposed approach for implementing genomics-based screening programs for healthy adults.,"Murray MF, Evans JP, Angrist M, Chan K, Uhlmann WR, Doyle DL, Fullerton SM, Ganiats TG, Hagenkord J, Imhof S, Rim SH, Ortmann L, Aziz N, Dotson WD, Matloff E, Young K, Kaphingst K, Bradbury A, Scott, J, Wang C, Zauber A, Levine M, Korf B, Leonard DG, Wicklund C, Isham G, Khoury MJ.",NAM Perspectives,2019,2018,https://dx.doi.org/10.31478/201812a,"Murray MF, Evans JP, Angrist M, Chan K, Uhlmann WR, Doyle DL, Fullerton SM, Ganiats TG, Hagenkord J, Imhof S, Rim SH, Ortmann L, Aziz N, Dotson WD, Matloff E, Young K, Kaphingst K, Bradbury A, Scott, J, Wang C, Zauber A, Levine M, Korf B, Leonard DG, Wicklund C, Isham G, Khoury MJ.",Other Research,Journal: NAM Perspectives (Volume: ; Issue: ; Pages:  - ),"A proposed approach for implementing genomics-based screening programs for healthy adults.|Murray MF|Evans JP, Angrist M, Chan K, Uhlmann WR, Doyle DL, Fullerton SM, Ganiats TG, Hagenkord J, Imhof S, Rim SH, Ortmann L, Aziz N, Dotson WD, Matloff E, Young K, Kaphingst K, Bradbury A, Scott, J, Wang C, Zauber A, Levine M, Korf B, Leonard DG, Wicklund C, Isham G, Khoury MJ.|NAM Perspectives|",http://nam.edu/a-proposed-approach-for-implementing-genomics-based-screening-programs-for-healthy-ad,33
"A public health focus on infertility prevention, detection, and management.","Macaluso M, Wright-Schnapp TJ, Chandra A, Johnson R, Satterwhite CL, Pulver A, Berman SM, Wang RY, Farr SL, Pollack LA.",Fertility and Sterility,2010,2010,https://dx.doi.org/10.1016/j.fertnstert.2008.09.046,"Macaluso M, Wright-Schnapp TJ, Chandra A, Johnson R, Satterwhite CL, Pulver A, Berman SM, Wang RY, Farr SL, Pollack LA.",Other Research,Journal: Fertility and Sterility (Volume: 93; Issue: 1; Pages: 160 - 160000000000),"A public health focus on infertility prevention, detection, and management.|Macaluso M|Wright-Schnapp TJ, Chandra A, Johnson R, Satterwhite CL, Pulver A, Berman SM, Wang RY, Farr SL, Pollack LA.|Fertility and Sterility|93",http://www.ncbi.nlm.nih.gov/pubmed/18992879,34
A qualitative analysis of lung cancer screening practices by primary care physicians.,"Henderson S, Degroff A, Richards TB, Kish-Doto J, Soloe C, Heminger C, Rohan E.",Journal of Community Health,2011,2011,https://dx.doi.org/10.1007/s10900-011-9394-2,"Henderson S, Degroff A, Richards TB, Kish-Doto J, Soloe C, Heminger C, Rohan E.",Lung Cancer,Journal: Journal of Community Health (Volume: 36; Issue: 6; Pages: 949 - 956),"A qualitative analysis of lung cancer screening practices by primary care physicians.|Henderson S|Degroff A, Richards TB, Kish-Doto J, Soloe C, Heminger C, Rohan E.|Journal of Community Health|36",http://www.ncbi.nlm.nih.gov/pubmed/21442338,35
A qualitative analysis of smokers’ perceptions about lung cancer screening.,"Gressard L, DeGroff AS, Richards TB, Melillo S, Kish-Doto J, Heminger CL, Rohan EA, Allen KG.",BMC Public Health,2017,2017,https://dx.doi.org/10.1186/s12889-017-4496-0,"Gressard L, DeGroff AS, Richards TB, Melillo S, Kish-Doto J, Heminger CL, Rohan EA, Allen KG.",Lung Cancer,Journal: BMC Public Health (Volume: 17; Issue: 1; Pages: 589 - 589),"A qualitative analysis of smokers’ perceptions about lung cancer screening.|Gressard L|DeGroff AS, Richards TB, Melillo S, Kish-Doto J, Heminger CL, Rohan EA, Allen KG.|BMC Public Health|17",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5479014/,36
"A qualitative study of Realtor knowledge, attitudes, and practices related to radon health effects: implications for comprehensive cancer control.","Momin B, McNaughton C, Galanek JD, Neri A, Gallaway MS, Puckett M.",Cancer Causes and Control,2019,2018,https://dx.doi.org/10.1007/s10552-018-1086-0,"Momin B, McNaughton C, Galanek JD, Neri A, Gallaway MS, Puckett M.",Lung Cancer,Journal: Cancer Causes and Control (Volume: 29; Issue: 12; Pages: 1249 - 1255),"A qualitative study of Realtor knowledge, attitudes, and practices related to radon health effects: implications for comprehensive cancer control.|Momin B|McNaughton C, Galanek JD, Neri A, Gallaway MS, Puckett M.|Cancer Causes and Control|29",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6311142/,37
A randomized intervention to improve ongoing participation in mammography.,"Barr JK, Franks AL, Lee NC, Antonucci DM, Rifkind S, Schachter M.",American Journal of Managed Care,2001,2001,,"Barr JK, Franks AL, Lee NC, Antonucci DM, Rifkind S, Schachter M.",Breast Cancer,Journal: American Journal of Managed Care (Volume: 7; Issue: 9; Pages: 887 - 894),"A randomized intervention to improve ongoing participation in mammography.|Barr JK|Franks AL, Lee NC, Antonucci DM, Rifkind S, Schachter M.|American Journal of Managed Care|7",http://www.ncbi.nlm.nih.gov/pubmed/11570022,38
