Jurisdiction,Sub-Jurisdiction,Topical Area,Supplemental Act Name,Award Name,Amount
Missouri,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #3,3861290
Pennsylvania,,Infection Prevention and Control,American Rescue Plan Act of 2021,ELC Strengthening Healthcare Associated Infections and Antibiotic Resistance Programs,11885449
Delaware,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,553918
Wyoming,,Data Modernization,"Coronavirus Aid, Relief, and Economic Security Act",ELC Accelerating Data Modernization in Jurisdictions,2966362
Tennessee,,Infection Prevention and Control,American Rescue Plan Act of 2021,ELC State-based Nursing Home and Long Term Care Strike Teams,9928681
Nevada,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Public Health Laboratory Preparedness,284946
Virgin Islands,,Epi and Lab Capacity,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",ELC Epi & Lab Capacity,0
Rhode Island,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC National Wastewater Surveillance System (NWSS),1235507
Florida,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness Adjustment/2,0
Michigan,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #3,6300079
California,Alameda County,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",7466480
Nevada,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #1,0
Hawaii,,Infection Prevention and Control,American Rescue Plan Act of 2021,ELC Strengthening Healthcare Associated Infections and Antibiotic Resistance Programs,2637244
Nebraska,,Public Health Workforce,American Rescue Plan Act of 2021,Crisis CoAg Workforce,12313606
Illinois,Chicago,School Testing,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for School Testing,81141237
Kentucky,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,1584325
Texas,San Antonio,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness/3,13980751
Micronesia,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #1,0
Wisconsin,,Public Health Workforce,American Rescue Plan Act of 2021/6,"Strengthening U.S. Public Health Infrastructure, Workforce, and Data Systems",53506756
Virginia,,Epi and Lab Capacity,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",ELC Epi & Lab Capacity for HHS,491290671
Oregon,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #1,500000
North Carolina,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 Among People Experiencing Homelessness,1439232
Arizona,,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,123050
Virginia,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,5375929
Iowa,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 Among People Experiencing Homelessness,449760
Kansas,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",Influenza Season Early Preparedness,991249
New Mexico,Dona Ana County,Addressing Health Disparities,"Coronavirus Aid, Relief, and Economic Security Act/5",Community Health Workers for COVID Response and Resilient Communities (CCR),1291180
Texas,Dallas County,Public Health Workforce,American Rescue Plan Act of 2021/6,"Strengthening U.S. Public Health Infrastructure, Workforce, and Data Systems",27134379
California,San Francisco,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",4669859
Colorado,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Public Health Laboratory Preparedness,284946
Wisconsin,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity for HHS,137077934
Mississippi,,Epi and Lab Capacity,"Coronavirus Aid, Relief, and Economic Security Act",ELC Epi & Lab Capacity Reopen America,6527773
Ohio,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #2,15620977
Virgin Islands,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for Genomic Sequencing,958344
North Dakota,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for Genomic Sequencing,1318662
South Carolina,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC National Wastewater Surveillance System (NWSS),73012
Palau,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Public Health Laboratory Preparedness,25000
Micronesia,,School Testing,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for School Testing,3084238
North Carolina,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness,7699964
North Carolina,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",Influenza Season Early Preparedness,4145415
Connecticut,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for Genomic Sequencing,2858697
Oklahoma,,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",43768887
Texas,San Antonio,Vaccine Preparedness,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",COVID-19 Vaccine Preparedness/2,13980751
Wyoming,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,288465
Kansas,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity,879000
Mississippi,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #3,0
Oklahoma,,Public Health Workforce,American Rescue Plan Act of 2021,Crisis CoAg Workforce,23036076
Utah,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #2,6441413
Alabama,,Public Health Workforce,American Rescue Plan Act of 2021,DIS Workforce,8665818
Puerto Rico,,Epi and Lab Capacity,"Coronavirus Aid, Relief, and Economic Security Act",ELC Epi & Lab Capacity Reopen America,6522620
Marshall Islands,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity,281000
Nevada,,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,289118
Georgia,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 in Confinement Facilities,33880000
Arizona,,Epi and Lab Capacity,"Coronavirus Aid, Relief, and Economic Security Act",ELC Epi & Lab Capacity Reopen America,12446524
Virginia,,Infection Prevention and Control,American Rescue Plan Act of 2021,ELC State-based Nursing Home and Long Term Care Strike Teams,9965263
California,,All Other,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Emerging Infections Program Award,2600000
Oregon,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,1721438
Virginia,,Epi and Lab Capacity,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",ELC Infection Control Training,1593604
Montana,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #1,0
District of Columbia,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC National Wastewater Surveillance System (NWSS),442297
New Jersey,,Infection Prevention and Control,American Rescue Plan Act of 2021,ELC Strengthening Healthcare Associated Infections and Antibiotic Resistance Programs,8670291
Maryland,Prince George's County,Addressing Health Disparities,"Coronavirus Aid, Relief, and Economic Security Act/5",Community Health Workers for COVID Response and Resilient Communities (CCR),5999724
Florida,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC National Wastewater Surveillance System (NWSS),1228806
Indiana,,School Testing,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for School Testing,202771135
Hawaii,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness,1039481
Texas,,All Other,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",All Other STLT Awards,1029640
South Carolina,,Data Modernization,"Coronavirus Aid, Relief, and Economic Security Act",ELC Accelerating Data Modernization in Jurisdictions,3118254
Ohio,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC National Wastewater Surveillance System (NWSS),1079407
Illinois,,Public Health Workforce,American Rescue Plan Act of 2021,DIS Workforce,13024170
Colorado,,Public Health Workforce,American Rescue Plan Act of 2021,DIS Workforce,9132867
Indiana,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity for HHS,183065473
New Mexico,,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,848540
California,Los Angeles County,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity,1910500
Illinois,Chicago,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #2,8743675
North Dakota,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness Adjustment/2,17625552
Minnesota,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #2,10048124
Marshall Islands,,Epi and Lab Capacity,"Coronavirus Aid, Relief, and Economic Security Act",ELC Epi & Lab Capacity Reopen America,408616
Nebraska,,Data Modernization,"Coronavirus Aid, Relief, and Economic Security Act",ELC Accelerating Data Modernization in Jurisdictions,3796710
Northern Marianas,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #1,0
Ohio,Columbus,Public Health Workforce,American Rescue Plan Act of 2021/6,"Strengthening U.S. Public Health Infrastructure, Workforce, and Data Systems",9020511
Alabama,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC National Wastewater Surveillance System (NWSS),588200
Wisconsin,Milwaukee,Public Health Workforce,American Rescue Plan Act of 2021/6,"Strengthening U.S. Public Health Infrastructure, Workforce, and Data Systems",8151554
Pennsylvania,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity for HHS,301036686
Mississippi,,Epi and Lab Capacity,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",ELC Epi & Lab Capacity for HHS,171302324
South Carolina,,Public Health Workforce,American Rescue Plan Act of 2021/6,"Strengthening U.S. Public Health Infrastructure, Workforce, and Data Systems",55648694
New Mexico,,All Other,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",All Other STLT Awards,250000
North Carolina,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #3,0
Pennsylvania,Philadelphia,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity,622000
Oregon,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity for HHS,86954065
District of Columbia,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,479440
District of Columbia,,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,57299
Alaska,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #2,4902840
Pennsylvania,Philadelphia,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,440909
Montana,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,512979
Rhode Island,,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,185914
New Mexico,,Epi and Lab Capacity,"Coronavirus Aid, Relief, and Economic Security Act",ELC Epi & Lab Capacity Reopen America,6638183
Hawaii,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #2,4567500
Vermont,,Infection Prevention and Control,American Rescue Plan Act of 2021,ELC State-based Nursing Home and Long Term Care Strike Teams,1513063
Idaho,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for Genomic Sequencing,1881778
Arkansas,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 in Confinement Facilities,9310000
Puerto Rico,,All Other,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Emerging Infections Program Award,0
Tennessee,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #2,10078294
Guam,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #1,0
West Virginia,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #1,0
Nebraska,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC National Wastewater Surveillance System (NWSS),843683
Utah,,School Testing,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for School Testing,96561883
Louisiana,,Epi and Lab Capacity,"Coronavirus Aid, Relief, and Economic Security Act",ELC Epi & Lab Capacity Reopen America,8672294
Kansas,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 Among People Experiencing Homelessness,449760
New Jersey,,Data Modernization,"Coronavirus Aid, Relief, and Economic Security Act",ELC Accelerating Data Modernization in Jurisdictions,2842000
Washington,,Addressing Health Disparities,"Coronavirus Aid, Relief, and Economic Security Act",Community Health Workers for COVID Response and Resilient Communities (CCR) - Technical Assistance and Evaluation,4000000
Tennessee,,Vaccine Preparedness,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",COVID-19 Vaccine Preparedness/2,61707412
Georgia,,All Other,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",All Other STLT Awards,1041023
New Hampshire,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Public Health Laboratory Preparedness,142473
Maine,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness/3,18402487
New York,New York City,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness,6120583
West Virginia,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 Among People Experiencing Homelessness,449760
New Jersey,,Public Health Workforce,American Rescue Plan Act of 2021,Crisis CoAg Workforce,52948504
Iowa,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",Influenza Season Early Preparedness,1060853
Texas,Houston,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity,1120000
Tribal Awards,,Tribal Awards,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",Tribal Awards,8315973
Montana,,Public Health Workforce,American Rescue Plan Act of 2021,DIS Workforce,3000000
Rhode Island,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",Influenza Season Early Preparedness,487295
New York,New York City,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,457840
Kentucky,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness/3,40369236
Maryland,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity for HHS,205723600
Pennsylvania,Allegheny County,Addressing Health Disparities,"Coronavirus Aid, Relief, and Economic Security Act/5",Community Health Workers for COVID Response and Resilient Communities (CCR),5301974
Massachusetts,,All Other,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",All Other STLT Awards,620618
Mississippi,,Infection Prevention and Control,American Rescue Plan Act of 2021,ELC State-based Nursing Home and Long Term Care Strike Teams,6381369
Texas,,School Testing,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for School Testing,803456353
Delaware,,Public Health Workforce,American Rescue Plan Act of 2021,DIS Workforce,3000000
Vermont,,Epi and Lab Capacity,"Coronavirus Aid, Relief, and Economic Security Act",ELC Epi & Lab Capacity Reopen America,5447600
Hawaii,,Vaccine Preparedness,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",COVID-19 Vaccine Preparedness/2,12793611
New York,New York City,Vaccine Preparedness,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",COVID-19 Vaccine Preparedness/2,75330252
Arkansas,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,1063636
Washington,,Epi and Lab Capacity,"Coronavirus Aid, Relief, and Economic Security Act",ELC National Wastewater Surveillance System (NWSS),300000
Ohio,,School Testing,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for School Testing,352069960
Nevada,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC National Wastewater Surveillance System (NWSS),411495
Massachusetts,,Public Health Workforce,American Rescue Plan Act of 2021/6,"Strengthening U.S. Public Health Infrastructure, Workforce, and Data Systems",62580778
North Dakota,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #3,0
Indiana,,Epi and Lab Capacity,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",ELC Epi & Lab Capacity,0
Maine,,Data Modernization,"Coronavirus Aid, Relief, and Economic Security Act",ELC Accelerating Data Modernization in Jurisdictions,3295196
California,Los Angeles County,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness Adjustment/2,0
Missouri,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for Genomic Sequencing,4271779
Florida,Hillsborough County,Public Health Workforce,American Rescue Plan Act of 2021/6,"Strengthening U.S. Public Health Infrastructure, Workforce, and Data Systems",15112397
Nevada,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 in Confinement Facilities,7140000
Rhode Island,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 Among People Experiencing Homelessness,449760
