YEAR,Quarter,LocationAbbr,LocationDesc,TopicTypeDesc,TopicDesc,MeasureDesc,Smokefree_Indoor_Air,Youth_Access,Licensure,Preemption,PreemptionAltValue,GeoLocation,TopicTypeId,TopicId,MeasureId
2009,4,NM,New Mexico,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-106.240580985 34.520880952),LEG,1046,1046COMB
1998,4,AR,Arkansas,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-92.274490743 34.748650124),LEG,1046,1046COMB
2014,3,RI,Rhode Island,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-71.522470314 41.708280193),LEG,1046,1046COMB
1995,4,MS,Mississippi,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-89.538030825 32.745510099),LEG,1046,1046COMB
2005,4,DE,Delaware,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-75.577741168 39.008830667),LEG,1046,1046COMB
2016,1,NH,New Hampshire,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-71.50036092 43.655950113),LEG,1046,1046COMB
2023,1,WV,West Virginia,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-80.712640135 38.665510202),LEG,1046,1046COMB
1996,4,WV,West Virginia,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-80.712640135 38.665510202),LEG,1046,1046COMB
1999,4,OH,Ohio,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-82.404260056 40.060210141),LEG,1046,1046COMB
2020,4,OR,Oregon,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-120.155031326 44.567449424),LEG,1046,1046COMB
2022,4,PW,Palau,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (134.58252 7.51498),LEG,1046,1046COMB
2018,4,MO,Missouri,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-92.566300053 38.635790776),LEG,1046,1046COMB
2006,1,WI,Wisconsin,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-89.816370742 44.393191174),LEG,1046,1046COMB
2006,1,PW,Palau,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (134.58252 7.51498),LEG,1046,1046COMB
2017,1,AZ,Arizona,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-111.763811277 34.86597028),LEG,1046,1046COMB
2015,4,DC,District of Columbia,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-77.031961127 38.890371385),LEG,1046,1046COMB
2010,4,WV,West Virginia,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-80.712640135 38.665510202),LEG,1046,1046COMB
1996,4,VT,Vermont,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-72.517640791 43.625381239),LEG,1046,1046COMB
2017,4,IA,Iowa,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,Yes,Preemption for one policy,1,POINT (-93.816490556 42.469400913),LEG,1046,1046COMB
2021,2,MP,Northern Mariana Islands,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (145.6739 15.0979),LEG,1046,1046COMB
2004,4,AR,Arkansas,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-92.274490743 34.748650124),LEG,1046,1046COMB
2008,2,MH,Marshall Islands,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (166.8417424 11.3246908),LEG,1046,1046COMB
2011,3,MA,Massachusetts,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-72.082690675 42.27687047),LEG,1046,1046COMB
2012,3,OR,Oregon,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-120.155031326 44.567449424),LEG,1046,1046COMB
2017,4,NE,Nebraska,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-99.365720623 41.641040988001),LEG,1046,1046COMB
2000,4,PA,Pennsylvania,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-77.860700294 40.793730152),LEG,1046,1046COMB
2019,4,ID,Idaho,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,Yes,Preemption for one policy,1,POINT (-114.363730042 43.682630005),LEG,1046,1046COMB
1996,4,KS,Kansas,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-98.200781227 38.3477403),LEG,1046,1046COMB
2006,3,MD,Maryland,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-76.609260111 39.290580964),LEG,1046,1046COMB
2023,4,WA,Washington,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,Yes,Preemption for one policy,1,POINT (-120.47001079 47.522278629),LEG,1046,1046COMB
2016,3,WY,Wyoming,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,Yes,No,Preemption for one policy,1,POINT (-108.109830353 43.235541343),LEG,1046,1046COMB
2022,3,ID,Idaho,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,Yes,Yes,Preemption for two policies,2,POINT (-114.363730042 43.682630005),LEG,1046,1046COMB
2021,4,FL,Florida,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,Yes,No,Preemption for one policy,1,POINT (-81.928960539 28.932040377),LEG,1046,1046COMB
2022,4,NV,Nevada,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-117.071840564 39.49324039),LEG,1046,1046COMB
2015,4,KY,Kentucky,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-84.774971048 37.645970271),LEG,1046,1046COMB
2013,3,PR,Puerto Rico,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-66.590149 18.220833),LEG,1046,1046COMB
1999,4,NE,Nebraska,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-99.365720623 41.641040988001),LEG,1046,1046COMB
1999,4,NC,North Carolina,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-79.159250463 35.466220975),LEG,1046,1046COMB
2020,1,WV,West Virginia,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-80.712640135 38.665510202),LEG,1046,1046COMB
2017,2,NY,New York,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-75.543970427 42.827001032),LEG,1046,1046COMB
2012,2,NY,New York,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-75.543970427 42.827001032),LEG,1046,1046COMB
1996,4,AK,Alaska,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-147.722059036 64.845079957001),LEG,1046,1046COMB
2022,1,HI,Hawaii,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,Yes,Preemption for one policy,1,POINT (-157.857749403 21.304850435),LEG,1046,1046COMB
2009,2,PR,Puerto Rico,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-66.590149 18.220833),LEG,1046,1046COMB
2024,4,IA,Iowa,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,Yes,Preemption for one policy,1,POINT (-93.816490556 42.469400913),LEG,1046,1046COMB
2019,4,FL,Florida,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-81.928960539 28.932040377),LEG,1046,1046COMB
2016,2,WI,Wisconsin,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,Yes,No,Preemption for one policy,1,POINT (-89.816370742 44.393191174),LEG,1046,1046COMB
2022,3,MO,Missouri,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-92.566300053 38.635790776),LEG,1046,1046COMB
2017,2,AL,Alabama,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-86.631860762 32.840571122),LEG,1046,1046COMB
2016,3,UT,Utah,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,Yes,No,Preemption for one policy,1,POINT (-111.587130635 39.360700171),LEG,1046,1046COMB
2008,1,CA,California,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-120.999999538 37.638640123),LEG,1046,1046COMB
2004,4,MA,Massachusetts,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-72.082690675 42.27687047),LEG,1046,1046COMB
2006,2,MI,Michigan,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-84.71439027 44.661319543001),LEG,1046,1046COMB
2019,4,WI,Wisconsin,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,Yes,No,Preemption for one policy,1,POINT (-89.816370742 44.393191174),LEG,1046,1046COMB
2024,3,DE,Delaware,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-75.577741168 39.008830667),LEG,1046,1046COMB
2020,2,IL,Illinois,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-88.997710178 40.485010283),LEG,1046,1046COMB
2008,4,SC,South Carolina,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-81.045371207 33.998821303),LEG,1046,1046COMB
2002,4,WI,Wisconsin,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-89.816370742 44.393191174),LEG,1046,1046COMB
1998,4,IL,Illinois,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-88.997710178 40.485010283),LEG,1046,1046COMB
2020,2,AK,Alaska,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-147.722059036 64.845079957001),LEG,1046,1046COMB
2017,2,ME,Maine,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-68.985031336 45.254228894001),LEG,1046,1046COMB
2014,4,OK,Oklahoma,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-97.521070214 35.472031356),LEG,1046,1046COMB
2023,1,MN,Minnesota,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-94.794200503 46.355648736),LEG,1046,1046COMB
2025,1,OR,Oregon,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,Yes,Preemption for one policy,1,POINT (-120.155031326 44.567449424),LEG,1046,1046COMB
2018,3,LA,Louisiana,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-92.445680071 31.312660644),LEG,1046,1046COMB
2014,4,AL,Alabama,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-86.631860762 32.840571122),LEG,1046,1046COMB
2007,3,OK,Oklahoma,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-97.521070214 35.472031356),LEG,1046,1046COMB
2015,3,PA,Pennsylvania,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-77.860700294 40.793730152),LEG,1046,1046COMB
2006,4,VA,Virginia,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-78.457890463 37.542680674),LEG,1046,1046COMB
2023,2,WV,West Virginia,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-80.712640135 38.665510202),LEG,1046,1046COMB
2006,4,IL,Illinois,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-88.997710178 40.485010283),LEG,1046,1046COMB
2008,3,MA,Massachusetts,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-72.082690675 42.27687047),LEG,1046,1046COMB
2008,2,GA,Georgia,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-83.627580346 32.839681093),LEG,1046,1046COMB
2024,1,AK,Alaska,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-147.722059036 64.845079957001),LEG,1046,1046COMB
2013,1,NH,New Hampshire,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-71.50036092 43.655950113),LEG,1046,1046COMB
2002,4,GA,Georgia,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-83.627580346 32.839681093),LEG,1046,1046COMB
2012,2,WV,West Virginia,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-80.712640135 38.665510202),LEG,1046,1046COMB
2013,4,NJ,New Jersey,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-74.273691288 40.130570048),LEG,1046,1046COMB
2003,4,MD,Maryland,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-76.609260111 39.290580964),LEG,1046,1046COMB
2022,2,KY,Kentucky,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-84.774971048 37.645970271),LEG,1046,1046COMB
2016,1,ME,Maine,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-68.985031336 45.254228894001),LEG,1046,1046COMB
2017,2,IA,Iowa,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,Yes,Preemption for one policy,1,POINT (-93.816490556 42.469400913),LEG,1046,1046COMB
2024,4,IN,Indiana,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-86.149960194 39.766910452),LEG,1046,1046COMB
2016,1,MP,Northern Mariana Islands,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (145.6739 15.0979),LEG,1046,1046COMB
2010,1,NY,New York,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-75.543970427 42.827001032),LEG,1046,1046COMB
2018,1,OK,Oklahoma,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-97.521070214 35.472031356),LEG,1046,1046COMB
2013,3,NH,New Hampshire,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-71.50036092 43.655950113),LEG,1046,1046COMB
2013,4,NC,North Carolina,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,Yes,No,Preemption for one policy,1,POINT (-79.159250463 35.466220975),LEG,1046,1046COMB
2020,1,TN,Tennessee,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,Yes,No,Preemption for one policy,1,POINT (-85.774490914 35.68094058),LEG,1046,1046COMB
2003,4,WV,West Virginia,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-80.712640135 38.665510202),LEG,1046,1046COMB
2018,3,AZ,Arizona,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-111.763811277 34.86597028),LEG,1046,1046COMB
2020,4,DC,District of Columbia,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-77.031961127 38.890371385),LEG,1046,1046COMB
2007,3,MP,Northern Mariana Islands,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (145.6739 15.0979),LEG,1046,1046COMB
2014,4,NE,Nebraska,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-99.365720623 41.641040988001),LEG,1046,1046COMB
2025,1,NV,Nevada,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-117.071840564 39.49324039),LEG,1046,1046COMB
2012,4,MP,Northern Mariana Islands,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (145.6739 15.0979),LEG,1046,1046COMB
2021,2,VA,Virginia,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-78.457890463 37.542680674),LEG,1046,1046COMB
2011,2,MI,Michigan,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-84.71439027 44.661319543001),LEG,1046,1046COMB
2018,1,PW,Palau,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (134.58252 7.51498),LEG,1046,1046COMB
2006,4,UT,Utah,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-111.587130635 39.360700171),LEG,1046,1046COMB
2015,4,IL,Illinois,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-88.997710178 40.485010283),LEG,1046,1046COMB
2014,3,CA,California,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-120.999999538 37.638640123),LEG,1046,1046COMB
2014,4,MD,Maryland,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-76.609260111 39.290580964),LEG,1046,1046COMB
2000,4,ND,North Dakota,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-100.118421049 47.475319779),LEG,1046,1046COMB
2005,4,WY,Wyoming,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-108.109830353 43.235541343),LEG,1046,1046COMB
1997,4,HI,Hawaii,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-157.857749403 21.304850435),LEG,1046,1046COMB
2013,4,MD,Maryland,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-76.609260111 39.290580964),LEG,1046,1046COMB
2001,4,AL,Alabama,Legislation,E-Cigarette - Preemption,"Smokefree Indoor Air, Youth Access, Licensure – OSH",No,No,No,No Preemption,0,POINT (-86.631860762 32.840571122),LEG,1046,1046COMB
