Year,Value,Units,Bacteria,Topic,ViewBy,ViewBy2
1998,4.1,Percent,Streptococcus pneumoniae,Syndromes,Meningitis,
1999,6.6,Percent,Streptococcus pneumoniae,Antibiotic resistance,Cefotaxime4,
1999,20.6,Percent,Streptococcus pneumoniae,Antibiotic resistance,Erythromycin,
1999,0.3,Percent,Streptococcus pneumoniae,Antibiotic resistance,Levofloxacin,
1999,3979,Counts,Streptococcus pneumoniae,Antibiotic resistance,Number of isolates,
1999,26.61,Percent,Streptococcus pneumoniae,Antibiotic resistance,Penicillin1,
1999,9.47,Percent,Streptococcus pneumoniae,Antibiotic resistance,Penicillin2,
1999,,Percent,Streptococcus pneumoniae,Antibiotic resistance,Tetracycline3,
1999,32.1,Percent,Streptococcus pneumoniae,Antibiotic resistance,TMPsulfa,
1999,0,Percent,Streptococcus pneumoniae,Antibiotic resistance,Vancomycin,
1999,162.7,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,<1 year old
1999,205.4,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,1 year old
1999,7.6,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,18-34 years old
1999,33.2,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,2-4 years old
1999,19,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,35-49 years old
1999,24.2,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,50-64 years old
1999,4.4,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,5-17 years old
1999,61.6,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,>=65 years old
1999,24.4,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,Overall
1999,24.4,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Overall,
1999,52,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Race,Black
1999,12.5,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Race,Other races
1999,24.4,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Race,Overall
1999,19.3,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Race,White
1999,0.77,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,<1 year old
1999,1.18,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,1 year old
1999,0.51,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,18-34 years old
1999,0.52,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,2-4 years old
1999,1.89,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,35-49 years old
1999,3.37,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,50-64 years old
1999,0.09,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,5-17 years old
1999,13.11,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,>=65 years old
1999,2.6,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,Overall
1999,2.6,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Overall,
1999,7300,Counts,Streptococcus pneumoniae,Number of Cases and Deaths,ALL,Number of deaths
1999,57100,Counts,Streptococcus pneumoniae,Number of Cases and Deaths,ALL,Number of survivals
1999,64400,Counts,Streptococcus pneumoniae,Number of Cases and Deaths,ALL,Total cases
1999,93.8,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,<5 year old,All Serotypes
1999,87.2,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,<5 year old,PCV13 Serotypes
1999,88.6,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,<5 year old,PCV15 Serotypes
1999,90.2,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,<5 year old,PCV20 Serotypes
1999,16.1,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,19-64 years old,All Serotypes
1999,11.9,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,19-64 years old,PCV13 Serotypes
1999,12.6,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,19-64 years old,PCV15 Serotypes
1999,14.4,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,19-64 years old,PCV20 Serotypes
1999,14.3,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,19-64 years old,PPSV23 Serotypes
1999,61.6,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,≥65 years old,All Serotypes
1999,46,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,≥65 years old,PCV13 Serotypes
1999,48.7,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,≥65 years old,PCV15 Serotypes
1999,52.9,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,≥65 years old,PCV20 Serotypes
1999,50.4,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,≥65 years old,PPSV23 Serotypes
1999,53.7,Percent,Streptococcus pneumoniae,Syndromes,Bacteremia with pneumonia,
1999,37.6,Percent,Streptococcus pneumoniae,Syndromes,Bacteremia without focus,
1999,5.2,Percent,Streptococcus pneumoniae,Syndromes,Meningitis,
2000,8.4,Percent,Streptococcus pneumoniae,Antibiotic resistance,Cefotaxime4,
2000,21.7,Percent,Streptococcus pneumoniae,Antibiotic resistance,Erythromycin,
2000,0.3,Percent,Streptococcus pneumoniae,Antibiotic resistance,Levofloxacin,
2000,3771,Counts,Streptococcus pneumoniae,Antibiotic resistance,Number of isolates,
2000,27.12,Percent,Streptococcus pneumoniae,Antibiotic resistance,Penicillin1,
2000,9.84,Percent,Streptococcus pneumoniae,Antibiotic resistance,Penicillin2,
2000,,Percent,Streptococcus pneumoniae,Antibiotic resistance,Tetracycline3,
2000,32.2,Percent,Streptococcus pneumoniae,Antibiotic resistance,TMPsulfa,
2000,0,Percent,Streptococcus pneumoniae,Antibiotic resistance,Vancomycin,
2000,147.8,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,<1 year old
2000,161.6,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,1 year old
2000,6,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,18-34 years old
2000,30.1,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,2-4 years old
2000,17.1,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,35-49 years old
2000,23.2,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,50-64 years old
2000,3.8,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,5-17 years old
2000,57.9,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,>=65 years old
2000,21.6,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,Overall
2000,21.6,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Overall,
2000,41.7,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Race,Black
2000,6.3,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Race,Other races
2000,21.6,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Race,Overall
2000,18.8,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Race,White
2000,3.4,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,<1 year old
2000,3,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,1 year old
2000,0.2,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,18-34 years old
2000,0.5,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,2-4 years old
2000,2,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,35-49 years old
2000,3.1,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,50-64 years old
2000,0.1,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,5-17 years old
2000,10.7,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,>=65 years old
2000,2.3,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,Overall
2000,2.3,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Overall,
2000,6600,Counts,Streptococcus pneumoniae,Number of Cases and Deaths,ALL,Number of deaths
2000,51800,Counts,Streptococcus pneumoniae,Number of Cases and Deaths,ALL,Number of survivals
2000,58400,Counts,Streptococcus pneumoniae,Number of Cases and Deaths,ALL,Total cases
2000,79.9,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,<5 year old,All Serotypes
2000,72.3,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,<5 year old,PCV13 Serotypes
2000,73.7,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,<5 year old,PCV15 Serotypes
2000,75.3,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,<5 year old,PCV20 Serotypes
2000,14.4,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,19-64 years old,All Serotypes
2000,10.8,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,19-64 years old,PCV13 Serotypes
2000,11.3,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,19-64 years old,PCV15 Serotypes
2000,13,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,19-64 years old,PCV20 Serotypes
2000,12.7,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,19-64 years old,PPSV23 Serotypes
2000,57.9,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,≥65 years old,All Serotypes
2000,42.5,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,≥65 years old,PCV13 Serotypes
2000,46.2,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,≥65 years old,PCV15 Serotypes
2000,50.3,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,≥65 years old,PCV20 Serotypes
2000,48.6,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,≥65 years old,PPSV23 Serotypes
2000,59.2,Percent,Streptococcus pneumoniae,Syndromes,Bacteremia with pneumonia,
2000,30.3,Percent,Streptococcus pneumoniae,Syndromes,Bacteremia without focus,
2000,5.4,Percent,Streptococcus pneumoniae,Syndromes,Meningitis,
2001,6.4,Percent,Streptococcus pneumoniae,Antibiotic resistance,Cefotaxime4,
2001,19.4,Percent,Streptococcus pneumoniae,Antibiotic resistance,Erythromycin,
2001,0.7,Percent,Streptococcus pneumoniae,Antibiotic resistance,Levofloxacin,
2001,3486,Counts,Streptococcus pneumoniae,Antibiotic resistance,Number of isolates,
2001,25.3,Percent,Streptococcus pneumoniae,Antibiotic resistance,Penicillin1,
2001,8.86,Percent,Streptococcus pneumoniae,Antibiotic resistance,Penicillin2,
2001,,Percent,Streptococcus pneumoniae,Antibiotic resistance,Tetracycline3,
2001,29.6,Percent,Streptococcus pneumoniae,Antibiotic resistance,TMPsulfa,
2001,0,Percent,Streptococcus pneumoniae,Antibiotic resistance,Vancomycin,
2001,52.3,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,<1 year old
2001,68.6,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,1 year old
2001,5.2,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,18-34 years old
2001,27.5,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,2-4 years old
2001,16,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,35-49 years old
2001,20.2,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,50-64 years old
2001,3.8,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,5-17 years old
2001,50.8,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,>=65 years old
2001,17.4,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,Overall
2001,17.4,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Overall,
2001,34.3,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Race,Black
2001,7.5,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Race,Other races
2001,17.4,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Race,Overall
2001,14.5,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Race,White
2001,0.6,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,<1 year old
2001,1.2,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,1 year old
2001,0.3,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,18-34 years old
2001,0.5,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,2-4 years old
2001,1.8,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,35-49 years old
2001,3.1,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,50-64 years old
2001,0.1,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,5-17 years old
2001,11.76,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,>=65 years old
2001,2.3,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,Overall
2001,2.3,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Overall,
2001,6900,Counts,Streptococcus pneumoniae,Number of Cases and Deaths,ALL,Number of deaths
2001,41750,Counts,Streptococcus pneumoniae,Number of Cases and Deaths,ALL,Number of survivals
2001,48650,Counts,Streptococcus pneumoniae,Number of Cases and Deaths,ALL,Total cases
2001,40.9,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,<5 year old,All Serotypes
2001,33.3,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,<5 year old,PCV13 Serotypes
2001,35.8,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,<5 year old,PCV15 Serotypes
2001,37.8,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,<5 year old,PCV20 Serotypes
2001,13.1,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,19-64 years old,All Serotypes
2001,9.1,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,19-64 years old,PCV13 Serotypes
2001,9.7,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,19-64 years old,PCV15 Serotypes
2001,11.4,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,19-64 years old,PCV20 Serotypes
2001,11.2,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,19-64 years old,PPSV23 Serotypes
2001,50.7,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,≥65 years old,All Serotypes
2001,35.7,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,≥65 years old,PCV13 Serotypes
2001,39.5,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,≥65 years old,PCV15 Serotypes
2001,43.1,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,≥65 years old,PCV20 Serotypes
2001,41.4,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,≥65 years old,PPSV23 Serotypes
2001,68.1,Percent,Streptococcus pneumoniae,Syndromes,Bacteremia with pneumonia,
2001,22.9,Percent,Streptococcus pneumoniae,Syndromes,Bacteremia without focus,
2001,5.3,Percent,Streptococcus pneumoniae,Syndromes,Meningitis,
2002,4.1,Percent,Streptococcus pneumoniae,Antibiotic resistance,Cefotaxime4,
2002,16.8,Percent,Streptococcus pneumoniae,Antibiotic resistance,Erythromycin,
2002,0.5,Percent,Streptococcus pneumoniae,Antibiotic resistance,Levofloxacin,
2002,3152,Counts,Streptococcus pneumoniae,Antibiotic resistance,Number of isolates,
2002,21.13,Percent,Streptococcus pneumoniae,Antibiotic resistance,Penicillin1,
2002,5.71,Percent,Streptococcus pneumoniae,Antibiotic resistance,Penicillin2,
2002,,Percent,Streptococcus pneumoniae,Antibiotic resistance,Tetracycline3,
2002,24.9,Percent,Streptococcus pneumoniae,Antibiotic resistance,TMPsulfa,
2002,0,Percent,Streptococcus pneumoniae,Antibiotic resistance,Vancomycin,
2002,38.5,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,<1 year old
2002,31.5,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,1 year old
2002,4.1,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,18-34 years old
2002,15.8,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,2-4 years old
2002,13.3,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,35-49 years old
2002,18.7,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,50-64 years old
2002,3.2,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,5-17 years old
2002,43.2,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,>=65 years old
2002,14.2,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Age,Overall
2002,14.2,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Overall,
2002,26.5,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Race,Black
2002,5.5,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Race,Other races
2002,14.2,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Race,Overall
2002,12.4,"Per 100,000 population",Streptococcus pneumoniae,Case Rates,Race,White
2002,0.8,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,<1 year old
2002,0,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,1 year old
2002,0.2,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,18-34 years old
2002,0.3,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,2-4 years old
2002,1.6,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,35-49 years old
2002,2.8,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,50-64 years old
2002,0.2,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,5-17 years old
2002,9.11,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,>=65 years old
2002,1.9,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Age,Overall
2002,1.9,"Per 100,000 population",Streptococcus pneumoniae,Death Rates,Overall,
2002,5700,Counts,Streptococcus pneumoniae,Number of Cases and Deaths,ALL,Number of deaths
2002,35200,Counts,Streptococcus pneumoniae,Number of Cases and Deaths,ALL,Number of survivals
2002,40900,Counts,Streptococcus pneumoniae,Number of Cases and Deaths,ALL,Total cases
2002,23.6,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,<5 year old,All Serotypes
2002,15.7,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,<5 year old,PCV13 Serotypes
2002,17.8,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,<5 year old,PCV15 Serotypes
2002,19.6,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,<5 year old,PCV20 Serotypes
2002,11.4,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,19-64 years old,All Serotypes
2002,7,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,19-64 years old,PCV13 Serotypes
2002,7.9,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,19-64 years old,PCV15 Serotypes
2002,9.4,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,19-64 years old,PCV20 Serotypes
2002,9.3,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,19-64 years old,PPSV23 Serotypes
2002,43.2,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,≥65 years old,All Serotypes
2002,28.5,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,≥65 years old,PCV13 Serotypes
2002,32.2,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,≥65 years old,PCV15 Serotypes
2002,36,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,≥65 years old,PCV20 Serotypes
2002,34.1,"Per 100,000 population",Streptococcus pneumoniae,Serotypes,≥65 years old,PPSV23 Serotypes
2002,68.9,Percent,Streptococcus pneumoniae,Syndromes,Bacteremia with pneumonia,
2002,21.1,Percent,Streptococcus pneumoniae,Syndromes,Bacteremia without focus,
2002,6.9,Percent,Streptococcus pneumoniae,Syndromes,Meningitis,
2003,3.1,Percent,Streptococcus pneumoniae,Antibiotic resistance,Cefotaxime4,
2003,17.4,Percent,Streptococcus pneumoniae,Antibiotic resistance,Erythromycin,
2003,0.4,Percent,Streptococcus pneumoniae,Antibiotic resistance,Levofloxacin,
2003,3147,Counts,Streptococcus pneumoniae,Antibiotic resistance,Number of isolates,
2003,19.92,Percent,Streptococcus pneumoniae,Antibiotic resistance,Penicillin1,
2003,5.37,Percent,Streptococcus pneumoniae,Antibiotic resistance,Penicillin2,
2003,5.9,Percent,Streptococcus pneumoniae,Antibiotic resistance,Tetracycline3,
2003,23.3,Percent,Streptococcus pneumoniae,Antibiotic resistance,TMPsulfa,
2003,0,Percent,Streptococcus pneumoniae,Antibiotic resistance,Vancomycin,
