Table,Select Setting,Value type,Geography,Select Measure,Levels of Measure,Value,SE,Low 95% CI,High 95% CI,Footnote-Value cell,Footnote-Measure Subscript
2,Residential Care Community,Ratio,Alabama,Ratio of employee type/Total number nursing and social work FTE employees,Social Worker,,,,,*,
2,Residential Care Community,Percent,Alabama,Any employee FTE,Registered nurse,58.1,4.5,49.1,66.6,,
2,Residential Care Community,Percent,Alabama,Any employee FTE,LPN/LVN,58.4,4.2,50.1,66.3,,
2,Residential Care Community,Percent,Alabama,Any employee FTE,Aide,92.5,2.4,86.1,96.1,,
2,Residential Care Community,Percent,Alabama,Any employee FTE,Social Worker,,,,,*,
2,Residential Care Community,Percent,Alabama,Any employee FTE,Activities director,79.8,3.7,71.6,86,,
2,Residential Care Community,Ratio,Alabama,Employee FTE hours per user per day,Registered nurse,0.4,0.1,0.2,0.5,,
2,Residential Care Community,Ratio,Alabama,Employee FTE hours per user per day,LPN/LVN,0.8,0.1,0.6,1,,
2,Residential Care Community,Ratio,Alabama,Employee FTE hours per user per day,Aide,4.4,0.3,3.9,4.9,,
2,Residential Care Community,Ratio,Alabama,Employee FTE hours per user per day,Social Worker,,,,,*,
2,Residential Care Community,Ratio,Alabama,Employee FTE hours per user per day,Activities director,0.4,0,0.3,0.4,,
3,Residential Care Community,Percent,Alabama,Services provided,Social work,37.2,4.2,29.3,45.8,,
3,Residential Care Community,Percent,Alabama,Services provided,Mental health or counseling,47.3,4.4,38.8,56,,
3,Residential Care Community,Percent,Alabama,Services provided,"Physical, occupational, or speech therapy",76.8,3.7,68.7,83.3,,
3,Residential Care Community,Percent,Alabama,Services provided,Skilled nursing,55.5,4.4,46.8,63.9,,
3,Residential Care Community,Percent,Alabama,Services provided,Pharmaceutical,94.1,2.1,88.3,97.1,,
3,Residential Care Community,Percent,Alabama,Services provided,Hospice,68.9,4.1,60.4,76.2,,
3,Residential Care Community,Percent,Alabama,Services provided,Dietary and nutritional,,,,,*,
3,Residential Care Community,Percent,Alabama,Dementia care,Specializes in dementia care and only serves users with dementia,28.2,4,21.1,36.6,,
3,Residential Care Community,Percent,Alabama,Dementia care,Specializes in dementia care or has dementia care floor/unit/wing,14.3,2.9,9.4,21.1,^^,
4,Residential Care Community,Number,Alabama,Number of users,Number of users,6277.3,350.7,5589.7,6965,,1
4,Residential Care Community,Percent,Alabama,Age,65 and over,98.1,0.3,97.6,98.6,,
4,Residential Care Community,Percent,Alabama,Age,Under 65,1.9,0.3,1.4,2.4,,
4,Residential Care Community,Percent,Alabama,Age,65-74,8.8,1.1,6.7,10.9,,
4,Residential Care Community,Percent,Alabama,Age,75-84,33.2,1.8,29.7,36.8,,
4,Residential Care Community,Percent,Alabama,Age,85 and over,56.1,2.1,52,60.1,,
4,Residential Care Community,Percent,Alabama,Sex,Male,26.8,3.8,19.4,34.3,,
4,Residential Care Community,Percent,Alabama,Sex,Female,73.2,3.8,65.7,80.6,,
4,Residential Care Community,Percent,Alabama,Ethnicity and race,Hispanic,,,,,*,4
4,Residential Care Community,Percent,Alabama,Ethnicity and race,Non-Hispanic White,95,0.7,93.7,96.3,,4
4,Residential Care Community,Percent,Alabama,Ethnicity and race,Non-Hispanic Black,4.1,0.6,2.9,5.2,,4
4,Residential Care Community,Percent,Alabama,Ethnicity and race,Non-Hispanic Other,0.7,0.1,0.4,1,,4
4,Residential Care Community,Percent,Alabama,Medicaid as payer source,Medicaid as payer source,,,,,*,
4,Residential Care Community,Percent,Alabama,Diagnosis,Alzheimer disease or other dementias,42.9,3.7,35.8,50.1,,"2,3"
4,Residential Care Community,Percent,Alabama,Diagnosis,Arthritis,38.4,3.3,31.9,44.9,,"2,3"
4,Residential Care Community,Percent,Alabama,Diagnosis,Asthma,5.8,0.6,4.6,7.1,,"2,3"
4,Residential Care Community,Percent,Alabama,Diagnosis,Chronic kidney disease,10.7,1.4,7.9,13.4,,"2,3"
4,Residential Care Community,Percent,Alabama,Diagnosis,Chronic obstructive pulmonary disease,10.9,1.2,8.6,13.2,,"2,3"
4,Residential Care Community,Percent,Alabama,Diagnosis,Depression,25.1,2.2,20.8,29.5,,"2,3"
4,Residential Care Community,Percent,Alabama,Diagnosis,Diabetes,15.1,1.2,12.7,17.5,,"2,3"
4,Residential Care Community,Percent,Alabama,Diagnosis,Heart disease,36,2.2,31.6,40.3,,"2,3"
4,Residential Care Community,Percent,Alabama,Diagnosis,High blood pressure/hypertension,56.5,2.9,50.8,62.1,,"2,3"
4,Residential Care Community,Percent,Alabama,Diagnosis,Osteoporosis,17.6,2.2,13.3,21.9,,"2,3"
4,Residential Care Community,Percent,Alabama,Needs assistance in physical functioning,Bathing,61.6,2.5,56.7,66.5,,
4,Residential Care Community,Percent,Alabama,Needs assistance in physical functioning,Dressing,43.9,3,38.1,49.7,,
4,Residential Care Community,Percent,Alabama,Needs assistance in physical functioning,Toileting,29,3.2,22.7,35.2,,
4,Residential Care Community,Percent,Alabama,Needs assistance in physical functioning,Walking or locomotion,54.7,3.5,47.9,61.4,,
4,Residential Care Community,Percent,Alabama,Needs assistance in physical functioning,Transferring in and out of a chair/bed,21.1,3,15.2,27,,
4,Residential Care Community,Percent,Alabama,Needs assistance in physical functioning,Eating,11.5,2.5,6.7,16.4,,
4,Residential Care Community,Percent,Alabama,Adverse Event,Overnight hospital stay,9.9,0.9,8.1,11.6,,2
4,Residential Care Community,Percent,Alabama,Adverse Event,Emergency department visit,14.7,0.9,13,16.4,,2
4,Residential Care Community,Percent,Alabama,Adverse Event,Fall,19.9,1.4,17.1,22.6,,2
1,Adult Day Services Center,Number,Alabama,Number of providers,Number of providers,10.8,0.3,10.2,11.3,,
1,Adult Day Services Center,Number,Alabama,Capacity,Total licensed maximum capacity or total number of beds,692.4,104.1,488.2,896.5,,1
1,Adult Day Services Center,Number,Alabama,Capacity,Average licensed maximum capacity or average number of beds,64.4,9.9,45.1,83.7,,1
1,Adult Day Services Center,Number,Alabama,Number of people served,Daily average,23.3,2.8,17.8,28.8,^,2
1,Adult Day Services Center,Percent,Alabama,Number of people served,Category 1,,,,,*,3
1,Adult Day Services Center,Percent,Alabama,Number of people served,Category 2,,,,,*,3
1,Adult Day Services Center,Percent,Alabama,Number of people served,Category 3,,,,,-,3
1,Adult Day Services Center,Percent,Alabama,US Census region,Northeast,,,,,...,
1,Adult Day Services Center,Percent,Alabama,US Census region,Midwest,,,,,...,
1,Adult Day Services Center,Percent,Alabama,US Census region,South,100,0,,,,
1,Adult Day Services Center,Percent,Alabama,US Census region,West,,,,,...,
1,Adult Day Services Center,Percent,Alabama,Metropolitan statistical area status,Metropolitan,,,,,*,
1,Adult Day Services Center,Percent,Alabama,Metropolitan statistical area status,Micropolitan,,,,,*,
1,Adult Day Services Center,Percent,Alabama,Metropolitan statistical area status,Neither,,,,,*,
1,Adult Day Services Center,Percent,Alabama,Ownership,For-profit,,,,,*,
1,Adult Day Services Center,Percent,Alabama,Ownership,Nonprofit,,,,,*,
1,Adult Day Services Center,Percent,Alabama,Ownership,Government and other,,,,,-,
1,Adult Day Services Center,Percent,Alabama,Certification,Medicare,,,,,---,
1,Adult Day Services Center,Percent,Alabama,Certification,Medicaid,,,,,*,
1,Adult Day Services Center,Percent,Alabama,Chain affiliated,Chain affiliated,,,,,*,
2,Adult Day Services Center,Number,Alabama,Total number of nursing and social work FTE employees,Total number of nursing and social work FTE employees,17.7,8.8,0.4,35.1,^,
2,Adult Day Services Center,Ratio,Alabama,Ratio of employee type/Total number nursing and social work FTE employees,Registered nurse,4.3,2.9,-1.5,10,^,
2,Adult Day Services Center,Ratio,Alabama,Ratio of employee type/Total number nursing and social work FTE employees,LPN/LVN,13.4,9.7,-5.6,32.5,^,
2,Adult Day Services Center,Ratio,Alabama,Ratio of employee type/Total number nursing and social work FTE employees,Aide,4.3,2.9,-1.5,10,^,
2,Adult Day Services Center,Ratio,Alabama,Ratio of employee type/Total number nursing and social work FTE employees,Social Worker,78,14.5,49.7,106.4,^,
2,Adult Day Services Center,Percent,Alabama,Any employee FTE,Registered nurse,,,,,*,
2,Adult Day Services Center,Percent,Alabama,Any employee FTE,LPN/LVN,,,,,*,
2,Adult Day Services Center,Percent,Alabama,Any employee FTE,Aide,,,,,*,
2,Adult Day Services Center,Percent,Alabama,Any employee FTE,Social Worker,,,,,*,
2,Adult Day Services Center,Percent,Alabama,Any employee FTE,Activities director,,,,,*,
2,Adult Day Services Center,Ratio,Alabama,Employee FTE hours per user per day,Registered nurse,0.2,0.1,0,0.4,^,
2,Adult Day Services Center,Ratio,Alabama,Employee FTE hours per user per day,LPN/LVN,0.3,0.1,0.1,0.5,^,
2,Adult Day Services Center,Ratio,Alabama,Employee FTE hours per user per day,Aide,0.2,0.1,0,0.4,^,
2,Adult Day Services Center,Ratio,Alabama,Employee FTE hours per user per day,Social Worker,0.1,0,0,0.2,^,
2,Adult Day Services Center,Ratio,Alabama,Employee FTE hours per user per day,Activities director,0.7,0.2,0.4,1.1,^,
3,Adult Day Services Center,Percent,Alabama,Services provided,Social work,,,,,*,
3,Adult Day Services Center,Percent,Alabama,Services provided,Mental health or counseling,,,,,*,
3,Adult Day Services Center,Percent,Alabama,Services provided,"Physical, occupational, or speech therapy",,,,,-,
3,Adult Day Services Center,Percent,Alabama,Services provided,Skilled nursing,,,,,*,
3,Adult Day Services Center,Percent,Alabama,Services provided,Pharmaceutical,,,,,*,
3,Adult Day Services Center,Percent,Alabama,Services provided,Hospice,,,,,*,
3,Adult Day Services Center,Percent,Alabama,Services provided,Dietary and nutritional,,,,,*,
3,Adult Day Services Center,Percent,Alabama,Dementia care,Specializes in dementia care and only serves users with dementia,,,,,-,
3,Adult Day Services Center,Percent,Alabama,Dementia care,Specializes in dementia care or has dementia care floor/unit/wing,,,,,-,
4,Adult Day Services Center,Number,Alabama,Number of users,Number of users,343.6,62.3,221.4,465.7,,1
4,Adult Day Services Center,Percent,Alabama,Age,65 and over,39.6,6.1,27.7,51.5,,
4,Adult Day Services Center,Percent,Alabama,Age,Under 65,60.4,6.1,48.5,72.3,,
4,Adult Day Services Center,Percent,Alabama,Age,65-74,25.9,3.1,19.8,32,,
4,Adult Day Services Center,Percent,Alabama,Age,75-84,9.1,2,5.2,13.1,,
4,Adult Day Services Center,Percent,Alabama,Age,85 and over,4.6,1.4,1.9,7.3,,
4,Adult Day Services Center,Percent,Alabama,Sex,Male,56.2,1.9,52.5,60,,
4,Adult Day Services Center,Percent,Alabama,Sex,Female,43.8,1.9,40,47.5,,
4,Adult Day Services Center,Percent,Alabama,Ethnicity and race,Hispanic,1.3,1,-0.6,3.2,,4
4,Adult Day Services Center,Percent,Alabama,Ethnicity and race,Non-Hispanic White,22.1,5.8,10.6,33.6,,4
4,Adult Day Services Center,Percent,Alabama,Ethnicity and race,Non-Hispanic Black,76.6,6.8,63.3,89.9,,4
4,Adult Day Services Center,Percent,Alabama,Ethnicity and race,Non-Hispanic Other,,,,,-,4
4,Adult Day Services Center,Percent,Alabama,Medicaid as payer source,Medicaid as payer source,35.2,18.5,-1,71.4,,
4,Adult Day Services Center,Percent,Alabama,Diagnosis,Alzheimer disease or other dementias,8.4,1.4,5.6,11.3,^,"2,3"
4,Adult Day Services Center,Percent,Alabama,Diagnosis,Arthritis,26.2,10.7,5.1,47.2,^,"2,3"
4,Adult Day Services Center,Percent,Alabama,Diagnosis,Asthma,3.9,1.3,1.3,6.4,^,"2,3"
4,Adult Day Services Center,Percent,Alabama,Diagnosis,Chronic kidney disease,1,0.5,0,2,^,"2,3"
4,Adult Day Services Center,Percent,Alabama,Diagnosis,Chronic obstructive pulmonary disease,1.9,1.1,-0.2,4.1,^,"2,3"
4,Adult Day Services Center,Percent,Alabama,Diagnosis,Depression,18.3,4.9,8.7,27.8,^,"2,3"
4,Adult Day Services Center,Percent,Alabama,Diagnosis,Diabetes,17.8,5,7.9,27.7,^,"2,3"
4,Adult Day Services Center,Percent,Alabama,Diagnosis,Heart disease,7.4,2.2,3.1,11.7,^,"2,3"
4,Adult Day Services Center,Percent,Alabama,Diagnosis,High blood pressure/hypertension,32.2,7.8,17,47.5,^,"2,3"
4,Adult Day Services Center,Percent,Alabama,Diagnosis,Osteoporosis,2.9,1.3,0.3,5.5,^,"2,3"
4,Adult Day Services Center,Percent,Alabama,Needs assistance in physical functioning,Bathing,7.2,1.9,3.6,10.9,,
4,Adult Day Services Center,Percent,Alabama,Needs assistance in physical functioning,Dressing,6.2,1.7,2.9,9.5,,
4,Adult Day Services Center,Percent,Alabama,Needs assistance in physical functioning,Toileting,6,1.2,3.5,8.4,,
4,Adult Day Services Center,Percent,Alabama,Needs assistance in physical functioning,Walking or locomotion,12.7,1.2,10.3,15,,
4,Adult Day Services Center,Percent,Alabama,Needs assistance in physical functioning,Transferring in and out of a chair/bed,8.5,1.6,5.3,11.6,,
4,Adult Day Services Center,Percent,Alabama,Needs assistance in physical functioning,Eating,10.2,2.3,5.7,14.6,,
4,Adult Day Services Center,Percent,Alabama,Adverse Event,Overnight hospital stay,2.6,1.3,0.1,5.1,^,2
4,Adult Day Services Center,Percent,Alabama,Adverse Event,Emergency department visit,3.1,1.2,0.6,5.5,^,2
4,Adult Day Services Center,Percent,Alabama,Adverse Event,Fall,1.5,0.6,0.4,2.6,^,2
1,Adult Day Services Center,Number,Alaska,Number of people served,Annual average,,,,,---,2
1,Residential Care Community,Number,Alaska,Number of people served,Annual average,,,,,---,2
1,Residential Care Community,Number,Alaska,Number of providers,Number of providers,166.1,2,162.1,170.1,,
1,Residential Care Community,Number,Alaska,Capacity,Total licensed maximum capacity or total number of beds,1916.3,98.2,1723.8,2108.9,,1
1,Residential Care Community,Number,Alaska,Capacity,Average licensed maximum capacity or average number of beds,11.5,0.6,10.4,12.6,,1
1,Residential Care Community,Number,Alaska,Number of people served,Daily average,9.1,0.4,8.3,9.9,,2
1,Residential Care Community,Percent,Alaska,Number of people served,Category 1,,,,,*,3
1,Residential Care Community,Percent,Alaska,Number of people served,Category 2,,,,,*,3
1,Residential Care Community,Percent,Alaska,Number of people served,Category 3,,,,,*,3
1,Residential Care Community,Percent,Alaska,US Census region,Northeast,,,,,...,
1,Residential Care Community,Percent,Alaska,US Census region,Midwest,,,,,...,
1,Residential Care Community,Percent,Alaska,US Census region,South,,,,,...,
1,Residential Care Community,Percent,Alaska,US Census region,West,100,0,,,,
1,Residential Care Community,Percent,Alaska,Metropolitan statistical area status,Metropolitan,89.7,2.2,84.4,93.3,,
1,Residential Care Community,Percent,Alaska,Metropolitan statistical area status,Micropolitan,,,,,*,
1,Residential Care Community,Percent,Alaska,Metropolitan statistical area status,Neither,,,,,*,
1,Residential Care Community,Percent,Alaska,Ownership,For-profit,83.3,3.2,76,88.8,,
1,Residential Care Community,Percent,Alaska,Ownership,Nonprofit,,,,,*,
1,Residential Care Community,Percent,Alaska,Ownership,Government and other,,,,,*,
1,Residential Care Community,Percent,Alaska,Certification,Medicare,,,,,---,
1,Residential Care Community,Percent,Alaska,Certification,Medicaid,,,,,*,
1,Residential Care Community,Percent,Alaska,Chain affiliated,Chain affiliated,50.4,4.7,41.4,59.5,,
2,Residential Care Community,Number,Alaska,Total number of nursing and social work FTE employees,Total number of nursing and social work FTE employees,988.5,80.9,829.9,1147.1,,
2,Residential Care Community,Ratio,Alaska,Ratio of employee type/Total number nursing and social work FTE employees,Registered nurse,10.5,1.9,6.9,14.1,,
2,Residential Care Community,Ratio,Alaska,Ratio of employee type/Total number nursing and social work FTE employees,LPN/LVN,9.1,3.8,1.7,16.4,,
2,Residential Care Community,Ratio,Alaska,Ratio of employee type/Total number nursing and social work FTE employees,Aide,80,3.4,73.3,86.6,,
2,Residential Care Community,Ratio,Alaska,Ratio of employee type/Total number nursing and social work FTE employees,Social Worker,0.5,0.2,0,0.9,,
2,Residential Care Community,Percent,Alaska,Any employee FTE,Registered nurse,34.9,4.3,27,43.8,,
2,Residential Care Community,Percent,Alaska,Any employee FTE,LPN/LVN,,,,,*,
2,Residential Care Community,Percent,Alaska,Any employee FTE,Aide,81.3,3.8,72.7,87.7,,
2,Residential Care Community,Percent,Alaska,Any employee FTE,Social Worker,,,,,*,
2,Residential Care Community,Percent,Alaska,Any employee FTE,Activities director,16.3,3,11.3,23.1,,
2,Residential Care Community,Ratio,Alaska,Employee FTE hours per user per day,Registered nurse,0.8,0.2,0.4,1.2,,
2,Residential Care Community,Ratio,Alaska,Employee FTE hours per user per day,LPN/LVN,0.1,0,0,0.1,,
2,Residential Care Community,Ratio,Alaska,Employee FTE hours per user per day,Aide,4.9,0.4,4.1,5.8,,
2,Residential Care Community,Ratio,Alaska,Employee FTE hours per user per day,Social Worker,0,,,,,
2,Residential Care Community,Ratio,Alaska,Employee FTE hours per user per day,Activities director,0.3,0.1,0.1,0.5,,
3,Residential Care Community,Percent,Alaska,Services provided,Social work,39.5,4.6,30.9,48.8,,
3,Residential Care Community,Percent,Alaska,Services provided,Mental health or counseling,27.4,4.1,20.1,36.1,,
3,Residential Care Community,Percent,Alaska,Services provided,"Physical, occupational, or speech therapy",55.4,4.6,46.3,64.1,,
3,Residential Care Community,Percent,Alaska,Services provided,Skilled nursing,53.1,4.7,43.8,62.1,,
3,Residential Care Community,Percent,Alaska,Services provided,Pharmaceutical,51,4.7,41.9,60.1,,
3,Residential Care Community,Percent,Alaska,Services provided,Hospice,52.5,4.8,43.2,61.7,,
3,Residential Care Community,Percent,Alaska,Services provided,Dietary and nutritional,64.5,4.5,55.2,72.8,,
3,Residential Care Community,Percent,Alaska,Dementia care,Specializes in dementia care and only serves users with dementia,,,,,*,
3,Residential Care Community,Percent,Alaska,Dementia care,Specializes in dementia care or has dementia care floor/unit/wing,,,,,* ^^,
4,Residential Care Community,Number,Alaska,Number of users,Number of users,1515.2,70.5,1377,1653.3,,1
4,Residential Care Community,Percent,Alaska,Age,65 and over,86.3,1.2,84,88.6,,
4,Residential Care Community,Percent,Alaska,Age,Under 65,13.7,1.2,11.4,16,,
4,Residential Care Community,Percent,Alaska,Age,65-74,22.7,1.5,19.7,25.7,,
4,Residential Care Community,Percent,Alaska,Age,75-84,27.7,1.5,24.8,30.6,,
4,Residential Care Community,Percent,Alaska,Age,85 and over,35.9,2.5,31,40.8,,
4,Residential Care Community,Percent,Alaska,Sex,Male,39.7,1.7,36.4,42.9,,
4,Residential Care Community,Percent,Alaska,Sex,Female,60.3,1.7,57.1,63.6,,
4,Residential Care Community,Percent,Alaska,Ethnicity and race,Hispanic,1.1,0.2,0.7,1.6,,4
4,Residential Care Community,Percent,Alaska,Ethnicity and race,Non-Hispanic White,72.4,1.8,69,75.9,,4
4,Residential Care Community,Percent,Alaska,Ethnicity and race,Non-Hispanic Black,2.2,0.5,1.3,3.1,,4
4,Residential Care Community,Percent,Alaska,Ethnicity and race,Non-Hispanic Other,24.2,1.7,20.8,27.6,,4
4,Residential Care Community,Percent,Alaska,Medicaid as payer source,Medicaid as payer source,49.2,2.7,43.9,54.4,,
4,Residential Care Community,Percent,Alaska,Diagnosis,Alzheimer disease or other dementias,59,4.4,50.5,67.6,,"2,3"
4,Residential Care Community,Percent,Alaska,Diagnosis,Arthritis,31.6,2.3,27.1,36.1,,"2,3"
4,Residential Care Community,Percent,Alaska,Diagnosis,Asthma,5.6,0.9,3.9,7.3,,"2,3"
4,Residential Care Community,Percent,Alaska,Diagnosis,Chronic kidney disease,8.9,1,6.9,10.9,,"2,3"
4,Residential Care Community,Percent,Alaska,Diagnosis,Chronic obstructive pulmonary disease,11.6,1.3,9.2,14.1,,"2,3"
4,Residential Care Community,Percent,Alaska,Diagnosis,Depression,18.6,2.1,14.6,22.7,,"2,3"
4,Residential Care Community,Percent,Alaska,Diagnosis,Diabetes,21.2,1.8,17.7,24.6,,"2,3"
4,Residential Care Community,Percent,Alaska,Diagnosis,Heart disease,31,2.6,25.8,36.1,,"2,3"
4,Residential Care Community,Percent,Alaska,Diagnosis,High blood pressure/hypertension,46.8,2.5,41.9,51.8,,"2,3"
4,Residential Care Community,Percent,Alaska,Diagnosis,Osteoporosis,15.7,2.4,10.9,20.4,,"2,3"
4,Residential Care Community,Percent,Alaska,Needs assistance in physical functioning,Bathing,81.4,1.9,77.8,85,,
4,Residential Care Community,Percent,Alaska,Needs assistance in physical functioning,Dressing,71.5,2.3,67,76,,
4,Residential Care Community,Percent,Alaska,Needs assistance in physical functioning,Toileting,62.6,2.8,57,68.1,,
4,Residential Care Community,Percent,Alaska,Needs assistance in physical functioning,Walking or locomotion,61.5,4.9,51.9,71.1,,
4,Residential Care Community,Percent,Alaska,Needs assistance in physical functioning,Transferring in and out of a chair/bed,45.7,4.4,36.9,54.4,,
4,Residential Care Community,Percent,Alaska,Needs assistance in physical functioning,Eating,42.6,3.1,36.5,48.6,,
4,Residential Care Community,Percent,Alaska,Adverse Event,Overnight hospital stay,8.9,1,7,10.8,,2
4,Residential Care Community,Percent,Alaska,Adverse Event,Emergency department visit,15.8,1.3,13.2,18.4,,2
4,Residential Care Community,Percent,Alaska,Adverse Event,Fall,14.7,0.9,13,16.4,,2
1,Adult Day Services Center,Number,Alaska,Number of providers,Number of providers,14.8,0,14.8,14.8,,
1,Adult Day Services Center,Number,Alaska,Capacity,Total licensed maximum capacity or total number of beds,456,41.8,374.1,537.9,,1
1,Adult Day Services Center,Number,Alaska,Capacity,Average licensed maximum capacity or average number of beds,30.9,2.8,25.3,36.4,,1
1,Adult Day Services Center,Number,Alaska,Number of people served,Daily average,66.4,37.4,-7,139.8,,2
1,Adult Day Services Center,Percent,Alaska,Number of people served,Category 1,,,,,*,3
1,Adult Day Services Center,Percent,Alaska,Number of people served,Category 2,,,,,*,3
1,Adult Day Services Center,Percent,Alaska,Number of people served,Category 3,,,,,*,3
1,Adult Day Services Center,Percent,Alaska,US Census region,Northeast,,,,,...,
1,Adult Day Services Center,Percent,Alaska,US Census region,Midwest,,,,,...,
1,Adult Day Services Center,Percent,Alaska,US Census region,South,,,,,...,
1,Adult Day Services Center,Percent,Alaska,US Census region,West,100,0,,,,
1,Adult Day Services Center,Percent,Alaska,Metropolitan statistical area status,Metropolitan,,,,,*,
1,Adult Day Services Center,Percent,Alaska,Metropolitan statistical area status,Micropolitan,,,,,*,
1,Adult Day Services Center,Percent,Alaska,Metropolitan statistical area status,Neither,,,,,*,
1,Adult Day Services Center,Percent,Alaska,Ownership,For-profit,,,,,*,
1,Adult Day Services Center,Percent,Alaska,Ownership,Nonprofit,,,,,*,
1,Adult Day Services Center,Percent,Alaska,Ownership,Government and other,,,,,*,
1,Adult Day Services Center,Percent,Alaska,Certification,Medicare,,,,,---,
1,Adult Day Services Center,Percent,Alaska,Certification,Medicaid,,,,,*,
1,Adult Day Services Center,Percent,Alaska,Chain affiliated,Chain affiliated,,,,,*,
2,Adult Day Services Center,Number,Alaska,Total number of nursing and social work FTE employees,Total number of nursing and social work FTE employees,65.7,26.1,14.4,116.9,,
2,Adult Day Services Center,Ratio,Alaska,Ratio of employee type/Total number nursing and social work FTE employees,Registered nurse,5.6,3.7,-1.7,12.9,,
2,Adult Day Services Center,Ratio,Alaska,Ratio of employee type/Total number nursing and social work FTE employees,LPN/LVN,2.4,2.1,-1.8,6.6,,
2,Adult Day Services Center,Ratio,Alaska,Ratio of employee type/Total number nursing and social work FTE employees,Aide,92,4.5,83.3,100.8,,
2,Adult Day Services Center,Ratio,Alaska,Ratio of employee type/Total number nursing and social work FTE employees,Social Worker,,,,,-,
2,Adult Day Services Center,Percent,Alaska,Any employee FTE,Registered nurse,,,,,*,
2,Adult Day Services Center,Percent,Alaska,Any employee FTE,LPN/LVN,,,,,*,
2,Adult Day Services Center,Percent,Alaska,Any employee FTE,Aide,,,,,*,
2,Adult Day Services Center,Percent,Alaska,Any employee FTE,Social Worker,,,,,*,
2,Adult Day Services Center,Percent,Alaska,Any employee FTE,Activities director,,,,,*,
2,Adult Day Services Center,Ratio,Alaska,Employee FTE hours per user per day,Registered nurse,0.1,0.1,0,0.2,,
2,Adult Day Services Center,Ratio,Alaska,Employee FTE hours per user per day,LPN/LVN,0.1,0,0,0.1,,
2,Adult Day Services Center,Ratio,Alaska,Employee FTE hours per user per day,Aide,0.2,0.1,0.1,0.4,,
2,Adult Day Services Center,Ratio,Alaska,Employee FTE hours per user per day,Social Worker,,,,,-,
2,Adult Day Services Center,Ratio,Alaska,Employee FTE hours per user per day,Activities director,2.8,0.4,2,3.6,,
3,Adult Day Services Center,Percent,Alaska,Services provided,Social work,,,,,*,
3,Adult Day Services Center,Percent,Alaska,Services provided,Mental health or counseling,,,,,*,
3,Adult Day Services Center,Percent,Alaska,Services provided,"Physical, occupational, or speech therapy",,,,,*,
3,Adult Day Services Center,Percent,Alaska,Services provided,Skilled nursing,,,,,*,
3,Adult Day Services Center,Percent,Alaska,Services provided,Pharmaceutical,,,,,*,
3,Adult Day Services Center,Percent,Alaska,Services provided,Hospice,,,,,*,
3,Adult Day Services Center,Percent,Alaska,Services provided,Dietary and nutritional,,,,,*,
3,Adult Day Services Center,Percent,Alaska,Dementia care,Specializes in dementia care and only serves users with dementia,,,,,*,
3,Adult Day Services Center,Percent,Alaska,Dementia care,Specializes in dementia care or has dementia care floor/unit/wing,,,,,*,
